tgt,src
this girl is too cute,راه زوينة هاد البنت
don't pass the line,بلا ما تبعد من هاد الخط
reduce sound,خفّص صوتك
I can't see,ماكانشوفش
no one saw him in work,ماكاينش واحد شفتو ف الخدمة
Let me give him what he wants,خليني نعطيه أشنو بغا
Let me ask them,خليني نسولهم
you are too late to take him t oschool,تعطلي بزّاف باش تحطو لدارة
Let me do my research,خليني ندير البحث ديالي
as you like,لي بغيتي
he cut himself when he was shaving,جرح راسو فاش كايحلق
this wall is strong wont fall,راه قوي هاد الحيط ماغاديش يتحط
What do you have to eat?,شنو عندك تناكل؟
let's go fishing,يالله نمشيو ندوزو
he went to open the door,مشا يفتح الباب
first time i travel,أول مرة أنا مسافر
he is fed up with you,راه عارف عليك
this is a classical lesson,هادي درس كلاسيكي
its logical you do your errands now,راه منطقي دير ليك شي حاجة دابا
they are just friend,هاديوم غير أصدقاء
one file of,واحد الملف ديال
watch out,راسكي
he will never leave the girls,عمرو خلي البنات
I dare you to heal for sickness,نتحداك ت شفّي المرض
don't be bothered,ماتعجبكش
That's easy!,هادشي سهل!
my stomach will hurt,غادي يديني المعدة
when you are available,فاش نتا لي عندك
give me drink,عطيني شي حاجة نشرب
I will start from now,أنا غادي نبدا من دابا
go follow him,سير تبع ليه
its been too long now,هادي مدة طويلة
if only I could inspire you,كون غير قدرت ن إلهامك
dont repeat words,ماتعاودش ليكم
Let me solve this problem,خليني نحل هاد المشكل
I'll assume that it has just slipped my mind,غادي نضن بلي هادشي خسر ليا من عقلي
i need to buy honey,خاصني نشري العسل
tell it not to stay in front of the door,قوليه ماشي يبقى فالباب
there is nobody here,ماكاينش شي واحد هنا
you went out,خرجتي
I don't see the money. ,ماكانش ف الفلوس
I'm very worried about the disappearance of the bees,أنا قلق بزاف على إختفاء ديال النحل
this haircut is bad,هاد الحلاقة خايبة
I don't know who caught him ,ماعرفتش شكون شفتو
you brought roses,جبتيها وردات
this is normal,هادشي طبيعي
I am learning italian,أنا كانعلم الطاليانية
it wasnt ifficient,ماكانش هادشي كان غير موهوم
something good ?,شي حاجة مزيانة؟
wait for me please,تسنّا عفاك
I agree with you that certain subjects are not treated enough,كانفق معاك أن شي مواضيع ماكانجاوبوش
i want happiness to come home,بغيت الفرحة تجي لدار
you will learn a lot of things,غادي ت تعلم بزاف ديال الحوايج
I gathered it in the night,جمعتها ف الليل
how to take loan,كيفاش نستقرا
he tried to fix it but broke it,حاول يصلحو و لكن كسر
why are you bothering,أش كاتزعجك
are you ready ?,نتا جاهز؟
Europe is a continent,أوروبا برا
eat your breakfast at peace,كولي فطورك ف هاد الراي
this dog is loyal,راه ليافد هاد الكلب
I'm only using wifi,أنا غير كانهدّم لويفي
Silly people.,ناس سخيفين.
I don't want to be disturbed,مابغيتش نخرط
i put meat in bread,أنا كنت كايبغي نخلّص لحم فخبز
What have you done?,شنو درتي؟
you won't understand me,ماغاديش تفهمني
I hear people outside!,كانسمع ناسّ فالبا!
after a time they used the house and renovated it,مورا شي وقت سدرو دار و عاواوضو
this point is marginal,هاد البند هو حيز
frankness is peace of mind,الصراحة هي سلامة ديال عقلك
I was searching for him I didn't find him,كنت كانقلب عليه ماقداو
until I go to the class,حتى نمشي ل دروس
it costed me a lot of money,كلفني بزاف ديال الفلوس
I don't know how to drive,ماكانعرفش ندير
you speak too much,كادوي بزاف
we wre helping you so you can rest,راه راه راه غيرنا غانعاونك باش ترتاح
this job didnt work too well,هاد الخدمة ماخدمتش مزيان
I feel sad for you,راني كنت حسّان ليك
my son has grow up quickly,ولدي كبر بزربة
His face was still pale,وجهه كان مازال شح
I'm not this type of people,أنا ماشي من هاد النوع ديال الناس
i think of accelerating,تانفكّر واش نسرع
if only I could increase my views,كون غير قدرت نزيد من لفرقات
"if your pet could talk, what do you think they might say about you?",إيلا كان حيوانك كايتكلم، أش بان ليك غادي يقولو فيك؟
do you think you are pretty,واش كاتحسّ بلي كاين زوين
nice to meet you,معايا
i thought that he wil lcurse all night long,كان كيسحاب ليا غادي يدرك ليل كامل
be good to your neighbor,كون مزيان مع جارتك
i signed contract and regretted it,أنا وقعت على كونطرة و ندمت عليه
i will wait for your answer,أنا غادي نتسنّا على إجابتك
 i thought that he wil lwalk on a cqn,كان كيسحاب ليا غادي يخرج على شي سيكن
many people have cheated,بزّاف ديال ناس خدّو
you will be my wing,نتا غادي تكون ليا ليك لجنحة
definitely chocolate cake,بلا شك كيكة ديال شكلاط
can you buy me my phone subscription,تقدر تشري ليا سبنيت ديال تيليفون ديالي
the best of perfumes,أحسن عطرا
it's enough,كافي هادشي
i will take you,أنا غادي نخرجك
we dont have a session today,ماغاديش ندير شي جلسة اليوم
Was she wearing a seat belt?,واش كانت لابسة حزام؟
you are not a man,نتا ماشي راجل
you always ask me about it,ديما كاتسولي عليا
Don't look for help,بلا ماتقلب على المساعدة
do you have his phone number?,واش عندك نمرة ديال تيليفون ديالو؟
did you see that new movie?,واش شفتي هاد الفيلم الجديد؟
i will teach you,أنا غادي نعلمك
calm down and everything  will pass.,هتا هتا كلشي غايمر
His friend's marriage lasts until the morning,زواج صاحبو كايدي حتى صباح
You don't want to finish that game,مابغيتيش تخلص داك لعبة
he is talking about us,راه كايحضر علينا
he was a good man,كان راجل مزيان
It's a piece of cake,هادي قطعة ديال الكيكا
what makes you think like this,أش كايديرك تفكري بحال هادشي
the tickets are sold,تيكات باينة
a train hit me,طربات ليا شي قطار
cops stoped me,البوليس علقوني
that's too much,هادشي بزّاف
Let me join you,خليني نلحقك
"yes, here you are",آه، ها نتا
god helps me,الله يعاونني
we should eat veggies each day,خاصنا نڭولو الخضرا كل نهار
everyone has turned their face on me,كولشي درا على وجهي
the woman wasn't replying to her emails,راه ماكانجاوبش على البريد الإلكتروني ديالها
tell her good night,قوليها ليها ليل الخير
i will be home,أنا غادي نكون ف الدار
i'm looking on her,أنا كانشوف عليها
he wanted to know me,بغا يعرفني
an earthquake will hit,غادي يجي زلزال
if only i canceld subscription,كون غير قدرت ن تلغي من ليك سبكنيت
and I'll finally have a reason to wear those heels that have been gathering dust in my closet,و أخيرا غادي يكون عندي سبب باش نلبس هاد الكولات لي كايجمعو تراب ف الحوضة ديالي
they give birth and cant afford them,كايولدو ماكانش يقدروش يديرو
he is warm,راه حار
the girl is married,البنت متزوجة
what this walk,أش هاد المشي
I'm really getting into the story and I think it's going to become quite exciting soon.,أنا فعلا كاندوز في القصة و كايحسب ليا غادي تكون مزيان بزّاف بزّاف
i dont think i will stop yu,مانضنش غادي نوقفك
why do you mingle too much,علاش كادخل بزاف
"It's on my computer, which is in my office",كاين فكومبيوتاري، لي كاين فبيتاري
Do you want coffee with sugar?,بغيتي القهوة مع السكر؟
leave me alone,خليني
I dare you to climb to the top of mountain,نتحداك ت تسلق لجبل
this is the first time,هادي أول مرة
close that door,سدّ داك الباب
i was walking and i found 200dh,كنت كانمشي و لقيت 200 درهم
"Very well thanks, and you?","بزاف شكرا, و نتا?"
he is attentive to details,كايهرس على تفاصيل
can i subscribe here,واش نقدر نسجل هنا
i wont see your face here,مابقيتش باغي نشوف وجهك هنا
I think of buying a razor,تانفكّر واش نشري شي حلاقة
don't add anything,ماتزيدش شي حاجة
this is the first time I'am working,هادي المرة الأولى لي كاندير
Where can I do laundry?,فين إمكن ليا نخلّس الحوايج؟
I'm traveling to USA,أنا مسافر ل أمريكا
if only i fleed,كون غير قدرت ن هرب
how many did you drink,شحال شربتي
I don't know,ماعرفتش
inchaelah yo will give birth,إينشالله غادي تولي
the vegetables are expensive,الخضرا غالية
When will you represent your country in an international competition?,إمتا غادي ت تمثل بلادك ف شي مسابقة دولية؟
he can take this,ممكن يدي هادشي
I agree.,متّافق.
there's a message for you if you look up,كاين شي رسالة ليك إيلا درتي
you are in your fifth bottle,نتا ف القرعة الخامسة ديالك
my dog has blue eyes,كلب ديالي عينيه زرق
if you love me let me go,إيلا كنتي كاتبغيني خليني نمشي
she is an old client of mine,راه كليانت ديالي قديمة
i was getting up,كنت كانقلب
hurry up,هيا عجل
i didnt find the key,ماجيتش ليا ليك
i will ask for money,أنا غادي نطلب الفلوس
we stayed here,بقينا هنا
i dont let my husband do something else,ماكانخليش راجلي يدير شي حاجة أخرى
kid,راه راه راه بقا
you will keep living alone,غادي تبقى تعيش بوحدها
why you dont wanna join this school,علاش مابغيتيش ت دخل ليك هاد المدرسة
I think I'll talk to the principal about it.,بان ليا غادي نتحدث مع المدير ديال المدرسة على هادشي.
i will not finish ,مابقيتش باغي نڭول
They should know where she went,خاصهم يعرفو فين مشات
And hungry,و جوج
what do you want to say,أش بغيتي تقول
i igored him,أنا راه جبتو
we will handle this problem,غادي نديرو هاد المشكل
she wanna see me relaxed,بغا تلاقيني راحة
i will participate to foot tournament,أنا غادي نشارك ف تورناري ديال كورة
And by some miracle it never broke down with me in it again.,و من معجزة ماعمرش تكسّر معايا فيها مرة أخرى.
are you crazy,واش نتا فخسّك
if only i brought what i want,كون غير قدرت نجي داكشي لي بغيت
I'm waiting for you to punsish him,كانتسنّا فيك ت معاقبّيه
you need to have diabetes analysis,خاصك ت تحليل شي واحد ديال السكري
i wanna know where is the taxi,بغيت نعرف فين كاين تاكسي
you do drugs,نتا كاتدير دوا
eat welcome,كولي تناولي
if you were busy just get ahead of me,إيلا كنتي مشغول غير تقدّم
did they anounce the exam,واش عارفو على المتحان
let me go with you,خليني نمشي معاك
3 months now i'm looking for rent,تلت شهور أنا كانقلب على شي كايكران
when they will call me,امتا غادي يعاونا ليا
i will remind you,أنا غادي نذكرك
day,نهار
Let me argue with him,خليني نناقش معاه
Have you tried to eat this typoe of chocolat,عمرك جربتي تاكل هاد نوع ديال الشوكلاط
i will choke you,أنا غادي نخنقك
rice water grows hair up,الما ديال الروز كايكبر شعر
"Maybe you're allergic to animal hairs, too.",إمكان تكون حساسية من شعر الحيوانات، تاني.
they want you to stay this way,بغا فيك تبقى بحال هادا
what are you waiting,أش كاتسنّا
be judgementaa,كون حكم
i cant stop smoking,مانقدرش نڭلس من ديك ليك
i'm getting angry,أنا كايبدا يقتع
i want to come back tomorrow,بغيت نرجع غدا
always in this place,ديما ف هاد البلاصة
i have a good memorie,عندي ليكموري زوينة
they ended today,راه اليوم سدّو
he found a beautiful girl,لقاو شي بنت زوينة
with odorless soap,مع صابون بلا ريحة
first year,أول عام
"landmarks, like the pond and the park?",المواقع، بحال البيك و الحديقة؟
he didn't tell why he want me,ماڭولش علاش بغا ليا
once in a while,مرة مرة
her phone is turned off,تليفوناتها مرفوعين
god forbids,الله يمنع
the road is jam,طريق كايجما
"As soon as we get out of the way, we'll go into wild beasts territory",بحال ما خرجنا من طريق، غادي نڭولو لڭابيل ديال الحيوانات البرية
too many phones came ,جيت بزّاف ديال تليفونات
i worked a lot today,خدام اليوم بزاف
Huge eggs.,بيضات كبيرة.
is it differentiation or integration you're needing help with the principle of?,واش التميزات ولا التكامل لي محتاجين المساعدة فشي لمبدأ؟
are you drawing,واش كاتسوج
You don't want to face off,مابغيتيش ت تلاقي
dont be mad,ماتغضبيش
if only I could look up to you,كون غير قدرت ن شوف عليك
what did you eat in lunch,شنو كليت ف الغدا؟
Sunday,نهار
I didn't think to take my megaphone.,مافكرتش ناخد ماغرافوني
just wuth my family,غير مع عائلتي
the customer was impressed by the item's durability,العميل كان معجب بقدرة ديال البنود
i like this domain,عجبني هاد الدومين
i do what i want,أنا كاندير لي بغيت
give me that shit,عطيني هاد القرف
you can do nothing we need money,ماتقدريش دير شي حاجة خاصنا فلوس
when you grow up to 23 you'll understand,ملي كترتي 23 سنان فهم
I'm gonna throw up,أنا غادي نردّ
What a relief!,شحال من رليفة!
I dont think i will organize my time like you,مانضنش غادي نترجم ليك الوقت
i tell it to you always,ديما كانديرها ليك
"This one is next to you, someday we'll go to it. ",هادي بلايصك، شي نهار غادي نمشيو ليها
Don't come back ,بلا ما تعاود
Cope harder ,تلقيها مزيان
I dont think i will  burn in flames,مانضنش غادي نحرق فالعافية
they made a lot of money,راه كايجيبو بزاف ديال الفلوس
we are afraid,حنا خايفيو
my mother made salty food,ماما درت الماكلة المالحة
how did you get there,كيفاش وصلتي لتما
we will also travel,حنا غانسافر
go finish your job,سير سدي خدمتك
please help your self,عفاك عفاك
What do you want us to do?,شنو بغيتي نعملو؟
I wouldn't dare accuse you of anything,ماغاديش نعتك على شي حاجة
 why you dont wanna change your house,علاش مابغيتيش تبدل دارك
i dont see my friend every day,ماكانشوفش صاحبي كل نهار
forgive me I did bother you,سمحلي أنا كنت كايزعجك
Why don't you want to meet her,علاش مابغيتيش تلاقاها
is she always like that,واش ديما كايكون على هادشي
I laughed at myself.,ضحكت من راسي
tomorrow i will take the bus,غدا غادي نستقل الباص
I study English,كانقرا الإنجليزية
i will not augmentate the vies,مابقيتش باغي نعاود ليك
this boy looks nice,هاد ولد كايبان زوين
Did you mean umbrella?,واش قصدتي المظلة؟
i will buy a remote garage,أنا غادي نشري شي داراجة ديال لڭاع
It's been over a month since we met.,هادي شهر منما تلاقنا.
the instructions are here,المواضيع هنا
this what i say is secret,هادشي لي كانڭول ليك هو سيكري
you need some coffee,خاصك القهوة
would you prefer two single beds?,واش بغيتي شي سريرين واحد؟
I dare you to cheat in class,نتحداك ت خدي فالقسم
tell me ,قولي ليا
"There were no seats on the train, but I could stand up",ماكانش كاينين شي مقاعد فتران، ولكن قدرت نڭع
"Even though you are in a far place, it is beautiful ",واخا كاين فبلاصة بعيدة، هادي زوينة
welcome to our new house,مرحبا بيكم فدارنا الجديدة
I sent that video to my daughter,صفت للي فيديو ل بنتي
where have you been my handsome brother,فين كنتي أخي زيب
I exercise in the morning.,كانمارّس فالصباح.
Why don't you want to invent something,علاش مابغيتيش تخلع شي حاجة
Have you tried to marry an ugly girl,عمرك جربتي تزوج بنت زعمة
Then I'll have a whole liter!,بعد غادي نتعاط ليتر كامل!
smart people succeed in life,راه راهّا ليكمّا لخيال فالحياة
i will not cheat anyhlonger,مابقيتش باغي نخدّع شي واحد
how much you work,شحال كاتخدم
if only I could have a side income,كون غير قدرت ن دير شي دخل
I can't hear you,مانسمعكش
But you must respect that new deadline,و لكن خاصك تحترم هاد الموعد الجديد
you are too late to reassure him,تعطلي بزّاف باش ت قاطع عليه
i saw the beauty entering,شفت البنات دخلات
The day had begun,بدا اليوم
this man isnt trustful,راه مايعتمدش على هاد الراجل
bring something new,جيب شي حاجة جديدة
whats the matter,شنو لي كاين
Because it's a recipe for ancient magic potion with a mystery ingredient,حيت راه وصفة ديال دواء سحري قديم مع مكونات لغامضة
my childhood friend,صاحبي من صغرتي
transalte this word,ترجّم هاد الكلمة
"Come on, let's travel together",أجي، خلينا نسافرو معا
yes they came but not everyone,آه جاو ولكن ماشي كولشي
if only i found what i looked for,كون غير قدرت ن لقّد ليا داكشي لي كنتقلب
But we often make a joke...,و لكن كايجريّعنا بزّاف ديال لفرح...
hey man,سلام يا صاح
give my phone,عطيني تيليفون ديالي
humans are not perfect,البشر ماشي كاملين
marry the fiancee,تزوجو لخريطة
did you wear a ring,واش كنت لابستي خاتم
I hear you can even get to see some beautiful birds if you're lucky,سمعت بلي تقدر تشوف شي طيور زوينين إيلا عندك لحظ
do what you  like,دير لي بغيتي
he was born in France,ولد ف فرنسا
just wait for me,غير توقعني
stubborn,عتيق
 I'm qatarian,أنا قطاري
its a good thing,راه مزيان
you are too late to get a project,تعطلي بزّاف باش تقدر تحصل على شي مشروع
"I had to go to this retirement home and see an old friend and pretend to be in love with him, just to try and get his money in his will","كان خاصني نمشي ل هاد دار التقاعد و نشوف شي صاحبي قديم و ندير بلي كانحبّو, باش نحاول نحصل على فلوسو ف وصيته"
i lost my phone,خسرت تيليفون
your reaction is strong,ردودك قوية
Forget it.,نساهل.
i was happy because i gave birth,أنا فرحت حيت ولدت
when he will comeback to home,امتا غادي يعود لدار
i want you to change,بغيت ت بدلي
"oh, and if you can carry them some grapes",أوه، وإيلا قدرتي تحمّل ليهم شي كاسّا ديال العنب
we will start the engine  now,دابا نديرنا الموتور
i booked a ticket,راني راني رزروفت ليك تيكيت
you hurt my head,درتي راسي
This suit is perfect for me,هاد البيتوين كايعجبني
i thought that  he will become a beggar,كان كيسحاب ليا غادي يبدّ ليك شي حاجة
you think far,واش كاتفكر بعيد
we have,عندنا
you should never steal,عمرك تسرق
I dare you to change your habbit,نتحداك ت غير عادتك
no one will believe me,تاحد ماغاديش يصدقني
I'm not joking,ماكانخرش
Don't take the camera,ماتديش الكاميرا
I gained about 3 kilos.,زادت 3 كيلو
no I swear I don't like it,لا أنا قسم ليك ماعنديش
stop going outside,ماتخلّش لبرّا
breastfeeding pill,حبوبة ديال الحليب
And I keep bumping into people swimming slowly,و كانبقى كانهرب على ناس كايحمو بجدّ
"No, I don't think we should aim at the pond.","لا, مانضنش خاصنا نستهدرو فالبحيرة."
we need to go to them,خاصنا نمشيو عندهم
it's oily,راه زيت
Would you like something to eat?,بغيتي شي حاجة تاكلو؟
i thought that he will protect me,كان كيسحاب ليا غادي يدافع عليا
I was kidding!,كنت كايضحك!
Why don't you want to give up,علاش مابغيتيش تستسلم
"come on, listen to me",أجي سمعني
my condolences,معروضة
do you have any travel destinations on your bucket list?,واش كاين شي وجهة ديال السفر فليستة ديال لفرص؟
he was depressed after they fired him,كان كايزرب فالأقلب فاش طردوه
He learned a new recipe,تعلم وصفة جديدة
I'll chose some people I don't normally work with,غادي نختار شي ناس ماكنخدمش معاهم عادة
didn't you hear something,واش ماسمعيش شي حاجة
i have one question,عندي سؤال واحد
i will be absent next week,أنا غادي ن غايعد ليكسبتة جاية
 you are too late to apply dor the shool,تعطلي بزّاف باش تطبق داك لشيرا
i will seek help,أنا غادي نستقيد المساعدة
why not?,علاش ماشي؟
Let me face him,خليني نتعامل معاه
my work is finally done,أخيرا خدمتي
i like people who do charity,كايعجبني الناس لي كايديرو الخير
she ate three frogs and two snails,واكلت تلاتة من البطاش و جوج ديال لبر
Maybe he's gonna cry in the bathroom every once in a while,إمكن غادي يبكي فالبوايد من مرة ف لفترة
we should search together,خاصنا نبحثو معا
What do you want sir?,أش باغي سيدي؟
"You don't want to deliver that message to me, do you?","مابغيتيش ت تسلم ليا هاد الميساج, واش هكا؟"
the writer died,لي كايكتب مات
I took a shower today,اليوم دوشت
i thought that he will throw the pole to fish,كان كيسحاب ليا غادي يلقّي ليا داك البول باش يسبق
Let's celebrate.,يالاه نحتافلو.
drink you coffee,تشرب القهوة ديالك
he will not want to ,مابقاش باغي
he insulted me,هدرني
let me go,خليني نمشي
leave it until we have time for it,خليها حتى نمشيو
nice story,قصة زوينة
What have you done?,أش درتي؟
Are you blaming me for this?,واش كاتلومني على هادشي؟
Let's finish what we started yesterday,يالاه نكملو ليكما بديناه البارح
you are too late to marry,تعطلي بزّاف باش تزوج
he took everything,هو خايبرو كلشي
the artist is beloved,الفنان كايبغيه
i need to be accepted,خاصني نستقبل
Without trying to come between us.,بلا ما تحاول تخلنا
go to your aunt,سير عند خلتك
Of course not!,طبعا ماشي!
give us diner,عطينا العشا
when we will hang out in the city?,إمتا غادي نتفرجو ف المدينة
she stayed silent a bit,سكت شوية
this outside ,هادشي خارج
pretty and witty,زوين ومتحسن
It's not natural.,ماشي طبيعي.
A barrel of laughs...,واحد باررلي ديال الضحك...
We must persist so we can stay alive,خاصنا نستمر باش نبقاو حيان
give off your money to kids,عطيو فلوسك للي ولاد
Show us their work ,ورينا الخدمة ديالو
"Otherwise, I don't.",وإلا ماكنش.
the door didnt wanna work,الباب ماكرهاش يدير
Why dont you want to hate this person,علاش مابغيتيش تكره داكشي
give me some time,عطيني شوية من الوقت
I dont think i will buy a lot of groceries,مانضنش غادي نشري بزّاف ديال ديال المنتجات
i will strengthen myself in the gym,أنا غادي نعزّف راسي ف الصالة
the hour is to god,ساعة ديال الله
this offer is global,هاد العرضة عالمية
tomorrow and go,غدا و سير
my big bro is not available,خويا الكبير ماعنديش
go have some rest,سير ترتاح
he is black the bully him,راه سود و كايعجبو
if only you hear what he says,كون غير قدرتي تسمع ليه شنو كايڭول
This is just the beginning,هادي غير البداية
premature,قبل من الوقت
may god extend your lifetime,الله يطول عليك عمرك
I'm thinking if the divorce is better for them,تانفكّر واش الطلاق أحسن ليهم
if only it worked,كون غير قدرتي
really,بصح
I'm thinking if he will be angry at me,تانفكّر واش غادي يغاضّ عليا
"Yes, I think it would be prudent to retrace our steps","آه, كانظن أنه غادي يكون حماقة نتبعو خطواتنا"
I think if i could loose weight,تانفكّر واش نتقلي
On you or me?,على راك ولا عليا؟
Have you tried investing in this company,عمرك جربتي تستمر فشي شركة
whatever they're like,أشناهواما
he doesnt pkay foot,ماكانشافش
i understand now,فهمت دابا
but if I get stuck the girls in here will always help me,ولكن إيلا حقت فبنتي هنا غادي يعاونوني ديما
this doctor is annoying,هاد الطبيب كايزعجني
which foot you play football ,فاش كتربي كورة
do you stay here ?,واش نتا كاتبق هنا؟
you should never go with bad company,عمرك تخرج مع واحد ناس فصحبة
I just had my lunch,أنا غير غديت
i will not hang my clothes on the window,مابقيتش باغي نعلق حوايجي على شي شرجم
i thought that he will watch the movie,كان كيسحاب ليا غادي يشاهد الفيلم
outside,خارج
the night when fast,فالليل ملي كايصيّم
I'm resting a bit,أنا رتاح شوية
I need your advice on how to help him,خاصني نصيحتك على كيفاش نعاونو
hurry,هيا
do me a favor please,دير ليا خدمة عفاك
i didnt go ourside,ماخدمتش معانا
Let me fix his objects,خليني نصلح ليه شي حاجات
this is impossible,هادشي ماعمرو
let me help you,خليني نعاونك
he attacked me first,هو هو لي هاجم عليا أولا
how do you feel about spicy foods?,أش كايبان ليك الماكلة المريحة؟
are you insane,واش نتا فاش
do you have your photos,واش عندك شي صور ديالك؟
he brings client just with talking,كايجيب ليكليان غير بڭاع
trust me,ثقة بيني
i have never hid something,ماعمرني خفيت شي حاجة
I put the food on table,خليت الماكلة على الطابلة
wait until you find a project,تسنّا تلقّا شي مشروع
you only coming by force,نتا جايت غير بالقوة
i always do good,ديما كاندير الخير
you will erase his memories,غادي تخلصو من هاد ليك
I don't mind having a dog with us,ماشي ماعنديش مانع نحتضر لكلب معانا
sister where you from,ختي منين نتا
i partied last night,أنا حفلة ليلة الماضية
you scared me,خفتيني
i will subscribe to this chanel,أنا غادي نتسجل على هاد القناة
I find the girls waiting for me,كانلقا البنات كانسنّا
i don't know how to say it to you,ماعرفتش كيفاش نڭولها ليك
I can't go to work ,مانقدرش نمشي للخدمة
Why don't you want to buy that book,علاش مابغيتيش تشري داك الكتاب
like  summer like winter,كيعطو كيعطو
hard word with me,كلمة صعيبة معايا
don't speak with him,ماتحضرش معاك
your behaviour is bad,سلوك ديالك خايب
i was speaking loudly,كنت كانحضر بزاف
dont be patient,ماتبقىش صبري
my friend each day he complains,صاحبي كايدوي كل نهار
Africa is a large continent,أفريقيا قارة كبيرة
go enjoy your vacation,سير تفضل بالعطلة ديالك
i cant forget her,ماكانقدرش نساها
after one week i was out of hospital,فالبردة وحدة خرجت من سبيتار
i will do whats necessary,أنا غادي ندير لي ضروري
i studied at fst,كنت قريت فست
When are you going to fight me?,امتا غادي ت قتال معايا؟
"Are you okay, honey?",واش نتا مزيان عزيزي؟
did i ever exagerate ?,واش ماعمرني كنتي زيد على هادشي؟
Have you tried to curse a cop,عمرك جربتي ت لعن شي بوليس
they didnt make couscous today,اليوم ماعقدوش كوسكو
this dog is agressive,هاد الكلب كايجيب
Live your life. ,عيش حياتك
give me an info,عطيني شي معلومات
Without this opportunity.,بلا ما تكون هاد الفرصة.
well then let's setup a setup a picnic near the river in the night,واخا نجي نتقدرو شي مشروب فالبيكنيك ف نهر فليل
you are in good mood,نتا مزن مزيان
And ten points on the ability to work as a team,و عشرة نقطة على القدرة على العمل ف فريق
Why don't you want to count how many study days,علاش مابغيتيش تحسب شحال ديال الأيام ديال الدراسة
i need to make babies,خاصني ندير شي شي ولد
dont get late,ماتعطلش
i played this game,أنا لعبت هاد لعبة
i have fever,عندي الحمية
he remain in his place,يبقى فبلاصة
We don't have one here,ماعندنا واحد هنا
do you want to have witnesses,واش بغيتي ت شهد
where are you going,فين غادين
I have a few walks around the nursing home.,عندي شي شوية ديال المشي في دار العجالة
He is not an angel,ماشي ملاك
lets go outside,يالاه نخرج
don't trust everyone,ماتصدقش على كلشي
And I thought they looked cute...,و كان كيسحاب ليا كايبانو زوينين...
Isn't his job halal ?,واش الخدمة ديالو حلال؟
"I laugh alone, You reminded me of the past. ",كانضحك بوحدي، راسكي ف الماضي
you say it happily,كاتقولو بليوم
the project is improving,المشروع كايزيد
It's probably too late to rent a room,راه مسيان بزّاف باش نكري شي بيت
why are you coughing,مالك كادفق
Don't get too worked up,بلا ما تڭلب على هادشي لي درتك
i'm cleaning out my closet,أنا كانخوي الحمام ديالي
when I have a party for my birthday you may enjoy some different type of music,فاش كانعي حفلة لعيد ميلادي تقدر ت عجبو شي نوع مختلف ديال الموسيقى
take advantage of your time,استفد من الوقت ديالك
See you next time,نشوفك المرة الجاية
are you comfy,واش نتا راسي
go repeat this job,سير عاود هاد الخدمة
I don't want to see you anymore,مابغيتش نشوفك مزيان
show it to me please ?,وريني عفاك
i told you grab very well,قلت ليك دارك مزيان
Men haven't yet been invited,مازال ماعرضت على الرجال
i vomitted all things i have eaten,راني راني كنت كلت كلشي لي كنت كليت
"After that, everything will be just a phase","مورا هادشي, كلشي غادي يكون غير واحد الجانب"
I dont think  you can protect me from this,مانضنش غادي تقدر تحميني من هادشي
we ddint cate,ماكانحناش
i bought a new camera,شريت كاميرا جديدة
i know why you started,عارف علاش باش بديتي
you're going to need something hearty to soak up all that beer,غادي تخصك شي حاجة زوينة باش تخلّس داك لبيرة كاملة
its a plan,راه خطة
