Original English,Translated AR
Are you picking up the network with your phone?,هل تلتقط الشبكة بهاتفك؟
Let me invent something,خليني اختلق شي شي
he achieved his dream,نال حلمه
you orders are my command,واش ليا ديال ديال ديال ديال ديال ديال
Why don't you want to go through the mountain,علاش مابغيتيش تمشي من خلال الجبل
You don't deserve the time I gave you. ,لا تستحقين الوقت الذي اعطيتك فيه
where were you,أين كنت؟
my sis came at the same day as me,واش خاي غادي غادي غادي ليا ليا
Why don't you want to tackle him,علاش مابغيتيش تحرج عليه
I'm serious,أنا جاد
I'll ask him!,أنا سَنَسْألُه!
and we be satisfied,و نكون راضين
she will send you directly to hospital,غادي تارسلك مباشرة للمشفى
You don't want to work poorly,مابغيتيش تعمل بزاف
you should never think again,مابغيتيش تفكّر ثانية
where is your work car,أين سيارتك؟
special,خاص
go to your uncles,سير لعمّاك
The mouse is a small animal,الفارة حيوان صغير
It sounds rather suspicious to me,بدا ليا مشبوه ليا
put realistic goals,هادي هادشي ديال ديال ديال ديال ديال ديال
last time you speal,آخر مرّة تَبخلت
i like autimn,أنا أَحْبُّ تايمنين
he is at home,هادشي في البيت
He wants to go to Africa,كان يريد أن يذهب إلى أفريقيا
Was he not traumatised?,ماكان راه؟
when you will travel,غادي تسافر
what do you think about him?,ما رأيك فيه؟
he has short hair,ديه شعر قصير
He has a good sense of humor,راه حسّا حسّا فكاهة
smoking cause stomach cancer ,ديال ديال بزّاف بزّاف بزّاف
you bought utensils yet,باش باش باش باش باش بزّاف بزّاف بزّاف
What's in it?,واش فيه؟
Mr.,راه
why you angry,علاش علاش تغيّر
you are underrated,واش غادي تهتّم
Enjoy the rest of your day,تمتع بباقي يومك
you go with bad people,واش تسافري مع ناس أشرار
you didn't finish the talk you started,ماغيتيش تاكل تا باش باش باش بدات
There's something I'm worried about.,هادشي شي شي قلق عليه
Why don't you want to speak to me,علاش مابغيتيش تخاطبيني
I didn't met him,مابقيت عليه
I hate singers!,أنا أكره المغنيين!
"i need to see the nurse, please",أنا بحاجة لرؤية الممرّة، من فضلك
I dont think he wil llend me,مانضنش غادي يوصلني
you should never eat salade outside,مابغيتيش تاكل فطير
there is no mobile data,ماشي ديال ديال ديال ديال ديال
you should never stock chocolate,مابغيتيش تخزن الشوكولاتة
they told me my friend has died,قالو ليا صديقي مات
do you prefer restaurants with a focus on food presentation artistry?,واش تفضلين مطاعم مع التركيز على فنانة عرض الطعام؟
what's the mistake i did ,ما الخطأ الذي قمت به؟
"Yes, that's exactly what it is!","نعم, هادشي هادشي هادشي"
this is administratively wrong,هادشي خاطيء
they demolished the whole neighbor,هادمو الجار كامل
i have an appointement today,عِنْدي تاليف اليوم
ten to,ديال ديال ديال ديال
what did you do,ماعملتيه؟
where is the change,أين هو التغيير؟
"You see movies, you participate in games, there's a library...",تشوفو افلام، و تشاركو في الالعاب، و هادشي مكتبة...
he loves bad girls,هادشي يعشق البنات ديال ديال
she was afraid of nothing,كانت خشيت من لاشي
And you come to see it,واتي تشوفها
i'm considering learning how to dance,غادي نتأمل تعلّم كيف نرقص
i was so scared for you,كنت خايف جدا عليك
Or maybe not.,أو ربّما لا.
They have special dietary requirements,عِنْدَهُمْ متطلبات تغذوية خاصّة
You're already handicapped by the dimension,واش معوقة ديال البُعد
you are too late to invite people,واش تاخرتي بزّاف لدّاع ناس
you know me well,كنت عارف ليا
this student only comes during exams,هاد التلميذة هادشي بزّاف بزّاف بزّاف بزّاف
he was in the coffe shop,كان في محل الكوفي
do your best in the pitch,جهّز بزّاف بزّاف
there is a good match,هادشي هاد المباراه
leave  him calling until he gets tired and he will hang up,خليه ينادى حتى يتعب و يوصل ليا
You were meant to get the ingredients,كان من المفترض أن تحصلي على الماكينات
"When I was little, I hated my cousin, in the country, who sometimes put turtles on her back.",عندما كنت صغيرة، كرهت ابن عمّي، في البلاد، الذي في بعض الأحيان وضع سلحفاة على ظهرها.
Okay for the planning.,راه من أجل التخطيط.
So it was better,واش بزّاف
wait for me tomorrow,واش ليا غادي
we do not accept credit card,واش مانقبل بطاقة ديال ديال
How many hours a week do you work?,كم ساعة في الأسبوع تعمل؟
my friend will coem to me,صديقي غادي تا دابا ليا
whats big isnt always good,هادشي كبير ماشي ديال ديال غير جيّد
Thank you for your advice.,شكرا على نصيحتك
you can correct your mistakes,واش تقدر تا تا غاديك
what's a song that you can listen to on repeat?,ما هي الأغنية التي يمكنك أن تسمعها على تكرار؟
how far is it,واش راه هادشي
he work silently,راه يعمل بزّاف
Think again,فكر مرة أخرى
what do you like to do during winters,راه مابغيتيش نديرو في الشتات
nothing was told to your father's friends,ماقولو بزّاف ديال ديال ديال ديال ديال ديالك
it's on your right,واش على يمينك
why you dont wanna buy new clothes,علاش مابغيتيش نشتري لباس جديد
Have you tried to have a big accomplishment,واش جربتي ليك إنجاز كبير
i was in a rush,أنا كُنْتُ بزّاف.
you started jealousy,بديت غيرة
you are nothing like me,ماكنتش مثلي
go have a run in the beach,سيرو في الشاطي
i always need your prayers mom,دومًا ما أحتاج لوالدتي خاصتك
I coudn't come to your party,أنا غادي ماجئت لحزبك
right here,هنا
can you explain to me?,هل يمكنك شرح لي؟
You want some water?,تُريدُ بَعْض الماءِ؟
Have you tried get fired from work,واش جربتي تطردي من العمل
I dont think  i will listen to that song again,مانضنش غادي نستمع للأغنية مرة أخرى
I hear people outside!,أنا أَسْمعُ ناس خارج!
i had a big weight,كان عندي وزن كبير
your kids is spoiled,أطفالك مدللون
they are asleep now,راهين بزّاف
the bananas are black,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i will go watch the borida,أنا غادي نشوف الپوردة
this sea rock is soft,هاد الروك البحري هادشي هادشي
"It's okay, it's just that I don't want to do anything",لا بأس، هو فقط أني مابغيتيش ماشيشيشيش
And have a change of scenery while we are at it. ,و غادي نغيّر بزّاف بينما نديرها
what's your favorite childhood game?,ما هي مباراتك المفضلة في طفولتك؟
if only I could fit my shirt,كون غير قدرت ناشف على قميصي
I'm idealogically opposed to Google and any other institute trying to use us to get more data!,أنا من الناحية المنطقية تعارض مع جوجل وأي معهد آخر يحاول أن يستخدمنا للحصول على المزيد من البيانات!
Were you helping him a little?,كنت تساعدينه قليلا؟
she cry a lot,راه بزّاف بزّاف
here she is,ها هي هنا
i'm at hsini,أنا في هاسّيني
this is a psychological sickness,هادشي مرض نفسي
Let me buy you groceries,خليني نشتري لك بزّاف
is that a flaw,هادشي عيب
he is an American,راه أمريكان
It gives me bad breath,راه ليا تنفّس
ten past,عشرة من الماضي
You may make people feel uneasy,ربّما تجعل الناس يشعرون بعدم الراحة
"no, thanks",لا، شكرا
i counted on you ,أنا غاديتك
"Wait, I have to catch my dog",لحظة، كان عليّ إمساك كلبي
He has a cooking show,راه عرض طبخ
are you into diy projects?,هاداك في مشاريع ديال؟
she made diner,راه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
she couldnt wait,مايقدرها تاخدّر
how are you,كيف حالك؟
I dare you to hide in your house,تحداك تختبئ في بيتك
he is not well behabved,راه راه ماشي بزّاف
tea in the evening,شاك في المساء
i will go to the capital,أنا غادي نمشي للعاصمة
my phone is off,راه ليا ديال ديال ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
like those dont come,هادشي ماندخل
i think of if go on tram,مانفكّر غادي نسير على الترام
did you pack your luggage.,واش تاخد ليا ديالك
bring me with you,جاد ليا معاك
our house or  hardwork,ديالنا و ديالنا
Only kidding... but they do allow you to bring your own entertainment if you want,نمزح ولكنّهم سمحو لك بجلب ترفيه خاصّك إن أردت
If we're lucky,لو كنّا محظوظين
he is a big cadre on his company,راه راه شي كوادر كبير على شركته
He always forgets his purse,دومًا مانسايا محفظته
its 3 days now,هاد 3 أيام
I dont think i will get along with you,مانضنش غادي نكمل معاك
i want to write that topic,غادي نكتب هاد الموضوع
this what you have,هادشي ماعندك
he stood up in front of the judge,كان واقفا في واجهة القاضي
Why don't you want to swim in the beach,علاش مابغيتيش تسبحي على الشاطئ
do you want tea ?,مابغيتي شاي؟
its sufficient,ماشيش ماكتيش
he was wearing a red hat,كان يرتدي قبعة حمراء
But it's not close and I don't know if it's open on Sunday.,و لكنّها غير قريبة و مانعرف إن كانت مفتوحة يوم الأحد
it softn skin,راه جلدة هادشي
we can do all of our burgers without onions if you prefer,مانقدر نا غادي نا غادي برغر بلا بزّة
i will not fix your bycicle,مابغيتيش نصلح ليك بخصيتيك
if only I could drop this convocation,كون غير قدرت نرجع هادشي
mind your own business,ندير عملك الخاص
Or maybe we could just get back to ourselves?,أو ربّما يمكننا فقط أن نعود لأنفسنا؟
I think of hurrying up,مانفكّر بزّاف بزّاف
I'm asking for forgiviness of fans,أنا باش باش ليا بزّاف من المعجبين
this is hard for you,هادشي قاس عليك
why you dont wanna imitate him,علاش مابغيتيش تقليه
read this text of rules,قرّر نصّ القواعد هاد
you need to calm down,حاجة تهدّد
these problems are enough,هادشي المشاكل كافية
Probably not.,ماكانو غاديش.
if only I could be warm in the winters,كون غير قدرت غادي ندفء ف الشاور
i will not give you time,مانبغيش نمنحك وقت
This is the third time the lift has broken in the last two weeks.,هاد هي المرّة الثالثة التي تعطل فيها المصعد في الأسبوعين الأخيرين
dont hate me,واش ماكرهني
anyway,هادشي
don't be arrogant,ماشي غاديش
if only only i slept better,كون غير قدر غادي ننام بزّاف
i have nothing to say,ماعندي شي ناقوله
I'm afraid that's the end of my shift now,خايف هاد هي نهاية نوبتي الآن
i asked him,أنا غاديته
they told him,قالو ليه
are you a coffee or tea person?,هل أنت قهوه أم قهوه؟
what do you enjoy doing in your free time?,واش تستمتعي في وقت فراغك؟
They were in Africa,كانو في افريقيا
i thought that that house will fall,كان ليه هادشي هاد الدار غادي يسقط
i think there is something wrong,مانضنش شي شي خاطيء
"I suggest you listen more and talk less, I have to go now",نقترح أن تسمعي و تثرثري بزّاف، علّيّ أن أذهب الآن
I'm thinking if i should buy a new charger,كنت أفكر إن كان عليّ أن أشتري شاحن جديد
if one isnt fit,واش واحد غير صالح
my grandpa has a hoyse in the country side it has cows,جدّي عِنْدَه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
he become lazy,راه كسول
You don't want to fight me ,مابغيتيش تحاربني
did you travel?,واش سافرتي؟
"By the way, we're gonna have to dance!",بالمناسبة، سنرقص!
"Hey, you seem to know these dogs",هاي، بدا ليك تعرف هادا الكلاب
it easy for you to accuse people,من السهل عليك أن تتهم الناس
i chose a color,غادي نختار لونا
he didnt wake up well,ماكان يستيقظ بزّاف
to look for it,غادي نلقاها
how much is this,راه بزّاف هادشي
i left my wallet at home,خليت محفظتي في البيت
hows your foot,واش سيرك
But I really don't want to be on this plane,ولكن أنا حقا مابغيتيش تكون على هذه الطائرة
is there a bakery nearby,هاد هاد المخبز على بزّاف
the governement need to take action,واش حاجة ديال ديال ديال ديال ديال ديال ديال ديال
im getting married,غادي نتزوج
i don't want to loose you,مابغيتيش نديرك
and ate z3lok,و تا غادي z3lok
these are cards,هاد بزّاف بزّاف
this gas has choke me,هاد الهاد الهاد هاد الماغ خنّاني
god brought you,راه الله هاداك
you have gluten allergy,عندك غادي ديال الغلوتين ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
Why don't you want to work at the aeroport,علاش مابغيتيش تعملي في ديال ديال ديال
I did not come to eat anything,أنا ماجأت لأكل شي شي حاجة
can you give me a minute of your time,ممكن تعطني دقيقة من وقتك
I don't even think I'll have any questions 'cause I understand so little.,مانفكّر غادي يكون عندي أيّة أسئلة لأنّي أتفهّم بزّاف
I trust you completely,طمأنتك بزّاف
I lift a heavy bag,راه ليا غادي نتا غادي
Let me change my mirrors,خليني نغيّر مرايا
I still have money left from my birthday,ما زال عندي مال باقي من عيد ميلادي
Wake up!,يقظ!
i applied a second strategy,واتّفقت على استراتيجية ثانية
where has the respect gone,واين هاد الدلالة
he is in love,راه في الحب
how do you always know when i need a comforting hug or a shoulder to lean on?,كيف تعرف دائما عندما أنا بحاجة حاضنة مريحة أو الكتف لتكفّل على؟
i was in garden,أنا كنت في البستان
you should never anounce something good,مابغيتيش تاينشي شي شي شي شي شي حاجة
how do you keep learning?,كيف تداوم على التعلم؟
go now leave,واش نمشي وارحل
you  are hard on yourself,كنت قاسيا على نفسك
bring someone he can fire,جاو شخص ما هو يُمْكِنُ أَنْ يُحرّرَ
grab my hand,إمسّي يدّي
do you like to dance?,ماتحبي الرقص؟
he is available yesterday,راه ليا بزّاف باش بزّاف بزّاف بزّاف
is the room big enough for you?,والغرفة كبيرة بما فيه الكفاية بالنسبة لك؟
what he consume,مايستهلكه
he speaks to me whenever he want,يكلمني متى مايريد
you have like day like night,واش ليك نهارا كالليل
avoid problems,ديال ديال ديالش ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i will give the students their papers,أنا غادي نوصل لطلابهم أوراقهم
They serve excellent breakfast after takeoff,ديال فطور ممتاز بعد الإقلاع
i heard the news ,سمعت الأخبار
why did you come ,علاش كتيجتي
you didn't come to the coffe shop,واش ماذهبتي لدكان الكوفي
it comes by itself,راه ياتو ليه
if only i was taller,كون غير قدرت
I hope we're not getting cold.,نتامنّا ما كنّا نصاب بزّاف.
fried chicken,دجاجة مقلية
it's next to,راه تاليا
I think of help them,فكّرت بمساعدتهم
i'm one of them,أنا واحد منهم
you are having some personal issues,لديك بعض المشاكل الشخصية
olive oil is good ,زيتو زيتونة جيّدة
act like you don't understand,واش ماتفهمتيش
But you must respect that new deadline,و لكن عليك أن تحترمي الموعد الجديد
I'll take care of myself,غادي نعتني بنفسنا
"It's weird, isn't it?",هو غريب، أليس كذلك؟
Are you okay?,هل أنت بخير؟
Why don't you want to negotiate with him for better prices,علاش مابغيتيش تتفاوضي عليه بزّاف
i need to learn chinese,واش نتعلّم اللغة الصينية
she is taking care of everything,كانت تهتّم كلّ شيء
this doesnt require money,هادشي ماشي حاجة ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
that i used,هادي كنت تاغي
do you want me to help you ?,واش تبغيني نخدمك؟
a moment and i call you,بزّاف واشديك
rent her a house,أجّر لها دارا
Hurrying up too much can make you late,واشاش ناكر بزّاف بزّاف يجيّلّك بزّاف متأخّر.
I dare you to swim in beach,تحداك تسبح في الشاطيء
Don't eat bread,مابغيتيش تاكل بزّاف
her hair is long ,شعرها طويل
How about you?,واش عندك؟
