Original Eng,tgt,src
call your girl,عيط ليا بنتك,I'm going to see your daughter
but thank god nevertheless,ولكن الحمد لله غير,But al-Hadimah is changed
"I'm sorry, I misunderstood.",سمح ليا، فهمت غلط.,"Sorry, I got it wrong."
we haven't seen each other until weeding night,ماش شفتنا حتى ليل ديال العرس,Don't be late till the wedding night
I dont think  he will climb that tree,مانضنش غادي يتسلق داك شجرة,I thought you'd get your tree
What did you bring for them?,أش جبتي ليهم؟,Did you get to them?
i'm your girl dad,أنا بنتك بابا,I'm your father
this boy is innocent,راه معتبر هاد الولد,The way of trust is this
It seems to me that the last time a lecturer was supposed to be speaking of ancient Egypt.,كايبان ليا آخر مرة كان المفترض ليكسّار يتحدّث على مصر القديمة.,The last time I was supposed to speak to him about ancient Egypt.
Did you eat any of those mushrooms?,واش كنتي كنتي كاتكل شي واحد من هاد الڭوربة؟,Were you the only one of this group?
i will travel,أنا غادي نسافر,I'm going on a trip
if only i had an excuse,كون غير قدرت نخرج ليك شي عيب,Be unable to get out for some trouble
if only i had a farm,كون غير قدرت نستمر في واحد المزرعة,I can't live in one farm
are you insane or what,واش نتا عيانة ولا أش,Washinta is not open and nothing is not
it will be fine,غادي تكون مزيان,You'll be pleasant
I dont think i will  leave him alone,مانضنش غادي نخليه,I'm going to pray
I rarely use a protractor,راه نادرا كانستعمل شي سحاب,How nadira was used to be a good thing
A frog came out of the water,خرج واحد البركة من الما,He went out alone from the tree
The bottles of the oil get their seal ruined.,زجاج ديال الزيت كايخربو سيلات,The glass of oil is like a silver
I was looking for a villa with a pool for rent .,كنت كانقلب على ولا مع البيسين,I was always on the buses
who won,شكون ربح,You will be rewarded
i will hit on her,أنا غادي نضرب عليها,I'm going to kill her.
help yourself,عاوي راسك,I'm a warden
give yourself some time,عطي راسك شي وقت,Give me some time
he has a nice name,عندو سمي زوين,They have a name
my grandpa doesnt talk much,جدّي ماكاتلمش بزّاف,My grandfather never did too much
work  is hard here,الخدمة صعيبة هنا,The service is easy here
or who buy goods,ولا لي كايبيع شي سلعة,And I can't sell anything fresh
what's you father's name,أش سميت باك,I'm with you
you should never bring a book,عمرك تجيب شي كتاب,You'll have a book
Tell me about your mother,عاود ليا عاودك,I'm here to help you
i ate spoiled yogurt,كليت ليهورت مسخور,I was able to have fun with you
i hope you are okay,أنا كنتمنى تكوني بخير,I wish you were fine
I want to get divorced,بغيت نتلاق,I want to talk
"Oh, my God, that's horrible",أوه، اللهي، هادشي سخيف,"Oh, my God, this is ridiculous."
He did his homework,درا ليه واجب,Please
the food isn't delicious,الماكلة ماشي مزين,The food is not good
the room is big,راه كبيرة هاد الغرفة,There is no room like this
good evening wife,مساء الخير زوجتي,Good night my wife
How much is it going to cost to get the car fixed?,شحال غادي يكلف باش تصلّب ليك توموبيل؟,How will it cost to get you a car?
i forsake eveyrthing,هربت من شي حاجة,I've been out of touch with anything
dont eat junk food,ماتكولا ماكلة,You can't eat me
All right.,واخا.,That's right.
no one can harm him,ماكانش واحد يقدر يضر بيه,There was no one who could hurt him
i dont buy dishes outside in ramadan,ماكانشري لبهر ف رمضان,I can't wait for Ramadan
he is building a villa,هو كايبني فيلا,He's like a philist
i'am talking about me,أنا كانحضر على راسي,I was on my way
my condelences,سماتي,Samati
"Ok, I'm going to head out with the dog!",واخا، أنا غادي نخرج مع لكلب!,"Wow, I'm going out with a club!"
i put it in this street,سدّيتها ف هاد شارع,I've been in this situation
I think of paying right now,تانفكّر واش ندفع دابا,Then think about washing and paying your father
I'm watching the game,كانفرج فالماتش,I was a student at the University of Calgary
he become like this in two months,راه بحال بحال هادشي ف جوج شهر,Restore this city to its former inhabitants
if only i respond to message,كون غير قدرت ن جاوب على المسالج,Being unable to answer the question
why didn't you think of that before?,علاش مافكرتيش ف هادشي قبل؟,Have you thought of this before?
i respect you opinion,كانحترم راي ديالك,I would have liked your opinion
we stayed here,بقينا هنا,We stayed here
she deosnt say yes,ماكاتقولش بلي,What did you say?
Let me laugh,خليني نضحك,Let me laugh
what do you think were the turning points in today's game that led to your team's win?,شنو كيعنّك المقاط ديال لعبة ديال اليوم لي دفعت لفرقة ديالك لربح؟,What do you think about the number of games I've played today that I've been able to win?
Chew your food well,مسكّك الماكلة ديالك مزيان,Thank you for your meal
i'm going on stairs,أنا غادي نخرج على درجات,I'm going out on my grades.
That's a good idea,هاديك فكرة مزيانة,I have a good idea
you need to be attentive,خاصك ت تلقّي,Please take me
i still think about this,مازال كانفكر ف هادشي,I was still thinking about that.
you are too focused on him,نتا راك حيت راك ف هاد الدراري,I never saw you live in this dumpster
if only i took my dog outside,كون غير قدرت نخرج الكلب ديالي,I can't get out of this
have you fallen of your head,واش وقعت من راسك,Wash and take your breath away
i only touch myself,أنا غير نلمس راسي,I am not a Russian
go decorate your room,سير زين بيتك,Sir Zine is at your house
what were you talking about,علاش كنتي كتهدر,Surely you were there
"why, just why",علاش، علاش,"Alas, alas"
i will joi nyou ,أنا غادي نتعاون معاك,I'll work with you.
is it imprtant he pass training,واش مهم هو يخرج من التدريب,What's important is that he get out of the practice
Have you tried to harm someone ,عمرك جربتي تسبق شي حد,Your age has never been more than a limit
this dog is savage,هاد الكلب راه شحال,That's how it all went on
depends on the distance,حسب المسافة,As far as the distance
I forgot my dautgher in rooftop,نسيت بنتي ف السطح,I was a woman in the hospital
If you're not worried in my office,إيلا ماشي قلقي فابلاصتي,I'm not going to read my words
Omar gave a book to Mohamed,عمر عطاه كتاب لمحمد,The life of this book is forever
you will find new boxes,غادي تلقاو شي سندوق جديد,You'll get something new
this hurt me,راه دراني هادشي,I'm on my way
she want to take your child,بغات تحضر ولدك,You're not going to get your son
Friday they give us surprise,الجمعة كايعجبونا,Friday we like it
It's the dead of summer,هادا صيف,Hadhaf the summer
Do you know when we entered the forest?,واش عارف إمتا دخلنا الغابة؟,Did you know we've ever been in the jungle?
go to you sister,سير عند أختك,Sir at your sister's
scared,خايف,I'm sorry
stop saying nonesense,باراكا من قولي ماشي,Baracca from what I say
He had his socks inside out,كان عندو جورابات ديالو ف الداخل,Had you any kindreds inside?
How was the experience?,كيداير الخبرة؟,How do you know?
Do you believe that?,واش كاتيقن هادشي؟,Do you read this?
It's very important,مهم بزاف,It's a big campaign.
Do you want to talk about it ?,واش بغيتي تهدرو عليه؟,Was it a question of not being able to talk to him?
where have you been,فين كنتي,Where were you?
they are yours,هادي ديالك,Here you go
Are you going to invite a lot of people?,واش غادي تدعو بزاف ديال ناس؟,Are you going to call a lot of people?
who are you,شكون نتا,We can get together
what songs do you enjoy listening to while cooking?,أشمن أغنية كايعجبك تسمعها فاش كتكيب؟,I love a song that you should hear but you can write it?
My job,خدام ديالي,God bless you
some time my parents were scared,شي وقت كانو الواليدين خايفين,It was a time when parents were afraid
taxi us waiting,تاكسي كانسنّا,Taksi was in Kansas
i forgot to bring recharge,نسيت نجي ليكشارجي,I've forgotten to charge
"Well, no not really, but it's like she is watching me",واخا، لا ماشي بالواقع، ولكن كايبقى كايشوفني,"Well, don't say, but you'll still see me."
my legs hurt,كايجرحو ليا رجلي,How can I go to my man?
we will bear the reponsability,غادي نديرو مسؤولية,Gadi is not responsible
why you didn't say it earlier,علاش ماڭوليش ليك قبل,Why don't you go ahead?
but if I get stuck the girls in here will always help me,ولكن إيلا حطت البنات هنا دايما كايعاونو,But if the girls are here they always help us
We have lost an important contract and we don't understand why,خسينا واحد العقد المهم و ماكنساهدو علاش,We have the only contract that is important and you can't see it for what it is
I need a calculator,خاصني واحد الكوليكاتور,I'm the only collector
this stick is sharp,هاد العصا شافية,Hadad al-Sasa is a shefi
I'm waiting for you to get a bigger bag,كانتسنّا فيك ت قدا شي ساك كبيرا,I was always going to tell you something more
can i ask you madam,واش نقدر نسولك سيدتي,Can we ask you my lady?
we tried new food,جربنا الماكلة الجديدة,Try this new meal
this is is for what,هادشي لي هو ليا,This is my life
whats solution,أشناهوا الحل,I know the solution
I live in libya,كانعيش ف ليبيا,I used to live in Libya
"In fact, it all depends on the shape of the glasses","في الحقيقة, كلشي كايعتمد على شكل ديال النظارة","In fact, everything depends on the form of the surgery"
are you sure you don't want to come with us,واش متأكد بلي مابغيتيش تجي معانا,You're sure I won't be able to make you understand?
go easy on yourself,سير هاديك,Sir Hadik
I'm not sure I understand,ماكانتش متأكد واش فهمت,I wasn't sure you understood?
its for the qerqara,راه للكارقة,The way to the Karkash
something will happen today,كاين شي حاجة غادي تجري اليوم,Is there anything you need to do today?
i learnt coding,تعلمت كود,You learned how to code
What should I wear?,أش غادي نلبس؟,Are you going to get dressed?
Let's have lunch !,يالله نتغداو,Oh my God
"Hi, I'm having coffee with an orange juice, please.","سلام, أنا كانشرب القهوة ب عصير ليمون, عافاك.","Hello, I was drinking coffee with lemon, please."
when will restriction canceled,إمتا غادي يرحل الحكومة,I'm going to the government
thank god going well,الله الحمد لله كايدير هادشي,Allah is the one who is responsible for this
my problem is known,مشكل ديالي معروف,My problem is known
Have you tried correct bac exam,عمرك جربتي امتحان الباك,You've tried the test of the other
Two months yet then I'll go,شهرين أخريين و منين غادي نمشي,Last two cities and then we'll go
You don't want to fix this clock,مابغيتيش تلبس هاد الساعة,You don't have to wear this clock
Do you do a lot of sports?,واش كاتدير بزاف ديال الرياضة؟,Is there a big deal about the riads?
why do you bother ?,علاش كايزعجك؟,Is that what you're after?
we end s5 then we think ahead,نهارنا س5 و من بعدنا نفكر,We've been out five and then we'll think about it.
who are you to use me,شكون نتا باش تستخدمني,You can still use me
i saw a window and looked,شفت شي نواف و كانشوف,I saw something new and canshov
he is a scammer,راه خايب,There is no way out
this job didnt work too well,هاد الخدمة ماخدمتش مزيان,This service is not very pleasant
consider me your sister not your friend,كون ختي وليتك,I have a friend
if just i remember last week,كون غير قدرت ن تذكّر ليمانة لي فاتت,Being unable to remember my fate
you have nothing to do,ماعندك ليك شي حاجة ت دير,I don't have anything you need to tell me
you are lacking,ماعندكش,I'm sorry.
this house is cheap,هاد دار رخيصة,This is a very good thing
I'm waiting for you to solve this problem,كانتسنّا فيك ت حلّ داك لمشكّل,We were in you to solve your problem
take your time,خلي الوقت,Take your time
I dare you to assist for the class,نتحداك ت نساعد ف هاد الفصل,We'll help you with this
"Come on, give me a connection",أجي عطيني شي اتصال,I'll get me some contact
It contains antibiotics that are bad for the skin.,كتيحت المضادات البيضوية لي كايخايب على الجلد,I've been given the white supremacy as a writing on the skin
the devil fooled me,شيطان خايبني,The devil has taken me
this glass doesnt break,راه ماكنتش كيتحطم هاد الكاس,How could you not break this box?
i work remotely,أنا كانخدم من بعد,I was serving afterwards
you need someone who will make you feel comfortable,خاصك شي واحد لي غادي يجعلك كايحسّ ب هاد الدرجة,There is only one thing for me that will make you feel like this
i think just a salade,كانضنّي غير سلادة,I was also without a salad
he's good my brother,راه خويا,Rah Khwya
she must be saying same thing about me,خاصها كاتڭول نفس الحاجة عليا,Especially the one that needs me
i follow the system,كانعقب النظام,He was following the system
where have you been,فين كنتي,I was in love with you
Have you tried adapt in a cold country,عمرك جربتي تكيّف فشي بلاد بارد,Your age is still a cold
i drove a car,كنت كنت كوفيت طونوبيل,I would have been able to get a good deal of the money
why you dont wanna avoid people,علاش مابغيتيش تبعد الناس,Why don't you tell people
the tv is broken,التلفازة مسخفة,The television is a mess
i saw him at a car ,شفتو ف طوموبيل,I'm in a car
why are arrogant,علاش كادكرس,I hope you can help me
What's in your pencil case?,شنو كاين ف سندوقة ديال قلمك؟,Is there a box for your pen?
Have you tried negotiatiing with im,عمرك جربتي تفاوض معاهوم,Your age is up to you to negotiate a deal
if only I could elevate my kids properly,كون غير قدرت ن تربية ولادي بجد,I'm not able to train and I don't have any problems
He has no idea,ماعندوش فكرة,I have no idea
It might be,إمكان يكون,Could be
"no one wants to see you like this, so change",ماعندك شي واحد بغايش يراك هادشي، إيلا غير,"There's only one thing left to see, if not"
They felt that she kidnapped the kid.,حسّو بلي خاطفت ليها ولد,I have been abducted for her son
half past,نص و نص,Half and half
I know you're an English teacher,عارفك أستاد ديال لونغليزية,You know how to read English
he has robbed me,راه حطّني,That's the way he got me
tell her that I'am waiting for her here,ڭوليها كانسناها هنا,You gave her a chance here
like everyone else,كيما كايبقى,As long as I'm here
rhis is a mess,راه هادشي فخير,This is a great way
how much is this,شحال هادشي,It's like this.
i dont know ,أنا ماعرفتش,I don't know.
me too guys,أنا كتر,I'm a cutter
"When I see green, I see red too",ملي كانشوف الخضرا، كانشوف الحمر,"He was the al-Khsadra, the al-Khmer"
this is just a theory,هادشي غير نظرية,That is not a theory
i will play a nice role,أنا غادي نلعب دور زوين,I'm going to play around
the door handle was hot,كان الدراري سخون,It was the dray
Have you tried move your head like this,عمرك جربتي تحرك راسك بحال هكا,Your age has to move your way back to normal
where is friendship in this time,فين كاين الصداقة فهاد الوقت,There was no friendship at this time
Are you picking up the network with your phone?,واش كايجيب على شبكة ب تيليفونك؟,Shall we get your phone?
Let me invent something,خليني نخترع شي حاجة,Let me pick out something I need
he achieved his dream,راه حطّم ليه حلمو,Way decided for him to leave
you orders are my command,أمرا لي كتبويهوم كايكونو ليا,Amra wrote me home so I can live
Why don't you want to go through the mountain,علاش مابغيتيش تبرّع الجبل,I will not be able to explain the problem
You don't deserve the time I gave you. ,ماكنتستاهليش الوقت لي عطيتك,Couldn't wait to give you the time
where were you,فين كنتي,I was a fan
my sis came at the same day as me,ختي جات ف نفس اليوم لي دخلت,You have given me the same today I entered
Why don't you want to tackle him,علاش مابغيتيش تلق عليه,There is nothing left to do
I'm serious,أنا جاد,I am a widow
I'll ask him!,أنا غادي نڭول!,I'm going to sing!
and we be satisfied,و كنكون راعيين,And be a reader
she will send you directly to hospital,غادي تسبّطك على وجهك للمستشفى,I'll get you back to the hospital
You don't want to work poorly,مابغيتيش تخدمي بزاف,I'm not going to make a big assumption
you should never think again,عمرك ت فكّر ف هادشي لي عاودت,Your age has made me think of this again
where is your work car,فين كاين توموبيل ديال الخدمة ديالك,There's a service for you
special,خاصة,Specialized
go to your uncles,سير عند خلك,Walk with your brother
The mouse is a small animal,الماوس حيوان صغير,The mouse is a small animal
It sounds rather suspicious to me,كايبان ليا شكّ,How many people have doubts
put realistic goals,حدد أهداف واقعية,Set your goals
last time you speal,آخر مرة كنتي كاتفرج,Last time you were a catcher
i like autimn,كايعجبني الفوزان,I wonder if you can find the weight?
he is at home,راه فدار,The way of the world
He wants to go to Africa,بغا يروح لأفريقيا,He's going to Africa
Was he not traumatised?,واش ماكانش متأثر؟,Wasn't it a little bit?
when you will travel,إمتا غادي تسافر,You're never going to travel
what do you think about him?,أش بان ليك عليه؟,I'm going to see him?
he has short hair,شال قصير,Shall be short
He has a good sense of humor,راه كايحسّ بلمحة,How can I feel better?
smoking cause stomach cancer ,التمباك كايسبب كسر ديال المعدة,The continuation is the reason for the breakdown of the equipment
you bought utensils yet,شديتي ليا شي حاجة,I've got something I need
What's in it?,شنو كاين فيه؟,Is there any in it?
Mr.,مس,Miss
why you angry,مالك غاضب,Your money is gone
you are underrated,نتا كايتقليل من القيمة,Nothing like the old one
Enjoy the rest of your day,تفرح ف نهارك,Enjoy your dinner
you go with bad people,كايمشي مع ناسّ خايبين,How do I go with the people of Khaybin?
you didn't finish the talk you started,ماكملتيش لبرنامج لي بدتي,You're not finished with this program.
There's something I'm worried about.,كاين شي حاجة لي كايخافني.,There was nothing I could do.
Why don't you want to speak to me,علاش مابغيتيش تكلم معايا,Allah will not leave me without talking to you
I didn't met him,ماقابلتش معاه,I didn't see you.
I hate singers!,كرهت المغنيين!,I hate the Maghrees!
"i need to see the nurse, please",خاصني نشوف الممرضة عفاك,I especially want to see the nurse please
I dont think he wil llend me,مانضنش غادي يديرني,I don't think you'll ever see me
you should never eat salade outside,عمرك تكل سلاطة من البلاصة,Your age is all the power of the place
there is no mobile data,ماكاينش ديا ديال لجوال,I never had a chance to go out with you
you should never stock chocolate,عمرك ت قدا شي شكلاتة,You are so old that you can do something
they told me my friend has died,قالو ليا صاحبي مات,They said to me my friend died
do you prefer restaurants with a focus on food presentation artistry?,كاتفضلو المطاعم لي كايركزو على تقديم الماكلة؟,Do you like me to serve your meal?
what's the mistake i did ,اشناهيا الخطأ لي درت,I have not known the wrongs of you
"Yes, that's exactly what it is!",آه، هادشي بالضبط!,"Ah, that's exactly what!"
this is administratively wrong,هادشي مخطأ إداريا,That's all I've ever done.
they demolished the whole neighbor,دخلو الجار كامل,Come on in and see the neighborhood
i have an appointement today,عندي موعد اليوم,I have a date today
ten to,عشرة على عشرة,10 on 10
what did you do,أشنو درتي,What's the matter?
where is the change,فين كاين البدل,Finn is not the same
"You see movies, you participate in games, there's a library...",كاتشوف الفيلمات، كاتشارك في لعبة، كاين المكتبة...,"Katshov al-Filmat, Katshar in the game, Kaine al-Khattab..."
he loves bad girls,كايعجبو على البنات الخايبين,How do I get to see the other girls?
she was afraid of nothing,ماكانات تخاف من تاحادي حاجة,Places are too frightened to do anything
And you come to see it,و نتا جاي تشوفو,And there's no place to meet you
i'm considering learning how to dance,كنفكر باش نتعلم نطرس,Think we'll learn how to fight
i was so scared for you,كنت خايفة عليك,I was looking for you
Or maybe not.,ولا إمكان لا,"No, you can't."
They have special dietary requirements,عندهم ماشي خاصة ديال الدار,They have a special kind of gold
You're already handicapped by the dimension,نتا مسيانة مسيانة,Not a problem
you are too late to invite people,تعطلي بزّاف باش تدعو ناس,Give me the money to teach people
you know me well,راه تعرفيني مزيان,How do you know me?
this student only comes during exams,هاد التلميد كايجي غير فالمتحانات,This is the only way to get some practice without the exams
he was in the coffe shop,كان ف القهوة,He was in coffee
do your best in the pitch,دير جهدك فالماتش,دير جهادك فالمش
there is a good match,كاين شي مسابقة مزيانة,Is there a good contest?
leave  him calling until he gets tired and he will hang up,خليو يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود,Khleo back again again again again again again again again again
You were meant to get the ingredients,كان من المقدّر ليك ت دخل المكونات,It was too late for you to get involved in the components
"When I was little, I hated my cousin, in the country, who sometimes put turtles on her back.","ملي كنت صغير، كنت كرهت خويا, ف الريف, لي كان كايضع أحيانا لحمري على شفتها.","I was little, I hated it, in the country, I used to put my life on her occasionally."
Okay for the planning.,واخا لخطط.,Take a look at the drawing.
So it was better,إوا كان أحسن,Was it better?
wait for me tomorrow,تسنّا ليا غدا,Good to see you tomorrow
we do not accept credit card,ماكانقبلوش كارت كريديت,I couldn't get a credit card
How many hours a week do you work?,شحال ديال الساعات فالأسبوع كاتخدم؟,How were the sales this week?
my friend will coem to me,صاحبي غادي يجي يجي ليا,My friend will come and see me
whats big isnt always good,أشنو كبير ماشي مزيان ديما,Ashnou كبير has always been a pleasure
Thank you for your advice.,شكران على نصيحة ديالك.,Thanks for your advice.
you can correct your mistakes,تقدر تصحح ليك لخطاك,You can read it so you can write it
what's a song that you can listen to on repeat?,أشناهوا الأغنية لي تسمعها ف التكرار؟,Have you heard the song for me to say again?
how far is it,شحال بعيد,How is it going?
he work silently,كايخدم فالسكوت,How did you serve the palace?
Think again,فكري تاني,Think about it again
what do you like to do during winters,أش كيعجبك دير ف شتاء,I'd like you to stay late in the winter
nothing was told to your father's friends,تا واحد ماخدمت ل صحاب والدك,I only ever served your father's company
it's on your right,هو على يمينك,He's on you.
why you dont wanna buy new clothes,علاش مابغيتيش تشري حوايج جديدة,There is nothing left to learn about new things
Have you tried to have a big accomplishment,عمرك جربتي تمشي واحد كبير,Your age has been a long one
i was in a rush,كانعجل,He was a man
you started jealousy,بداك غي حسدو,You're not gonna be jealous
you are nothing like me,نتا ماشي بحالني,You never saw me again
go have a run in the beach,سير سيرشي ف البحر,I'm going to the sea
i always need your prayers mom,أنا ديما محتاج ل صلاتك ماما,"I need your prayers again, mom."
I coudn't come to your party,ماقدرش نجي لحفلة ديالك,Makdarshi is here for you
right here,هنا,Here you are
can you explain to me?,تقدر تشرح ليا؟,Can you explain?
You want some water?,بغيتي شوية ديال الماء؟,Want some water?
Have you tried get fired from work,عمرك جربتي تخلص من الخدمة,Your age has to be done with the service
I dont think  i will listen to that song again,مانضنش غادي نعاود نسمع هاد الأغاني,I'm not going to hear that song again
I hear people outside!,كانسمع ناس خارج!,I could hear people out!
i had a big weight,كان عندي بزّاف,I had a lot of trouble
your kids is spoiled,ولادك مسخين,I'm sorry to hear you
they are asleep now,راه كايعاسو دابا,How can you live with your father?
the bananas are black,البنانات مشو,The bananas are gone
i will go watch the borida,أنا غادي نمشي نشوف البوريدة,I'm going to see the news
this sea rock is soft,راه ماعندش هاد الحجر البحر,The way I am is this sea of al-Hujr
"It's okay, it's just that I don't want to do anything",ماشي، غير ما بغيت ندير والو,"That's all, I just don't want to live"
And have a change of scenery while we are at it. ,و تبدل لدوار و نقدرنا فيه,And we can change and we can appreciate it
what's your favorite childhood game?,اشناهيا أحسن لعبة عندك من صغر؟,Have you ever had a better game since you were little?
if only I could fit my shirt,كون غير قدرت نقدر نستمر ف القميص ديالي,Being unable to continue in this shirt today
I'm idealogically opposed to Google and any other institute trying to use us to get more data!,أنا عادي فكري لغوغل و أي معاهد تانية كايحاول يستخدمنا باش يحصل على مزيد ديال البيانات!,I'm used to thinking about going to Google and any other contracts that will try to use us to get more data!
Were you helping him a little?,واش كنتي كايتعاونو شوية؟,Didn't you help him a little?
she cry a lot,كايتبكي بزاف,How do you like it?
here she is,هاهيا,Haah
i'm at hsini,أنا ف هسنة,I'm here
this is a psychological sickness,راه مريض نفسي,How ill am I?
Let me buy you groceries,خليني نشري ليك شي حاجة,Let me publish something for you
is that a flaw,واش هادشي واحد العيب,Wash this thing the only thing that is wrong
he is an American,هو أمريكان,He is an American
It gives me bad breath,كايعطيني ريحة,Can you give me a breath?
ten past,عشرة,Ten of them
You may make people feel uneasy,ممكن تجيب الناس يساورو,You can ask people your question
"no, thanks","لا, شكرا","No, thank you."
i counted on you ,كانعتبر عليك,I thought of you
"Wait, I have to catch my dog",تسنّا، خاصني نحمل لكلب ديالي,"Thanks, especially if you're going to get my card."
He has a cooking show,عندو شوف ديال طياب,We have a dinner party
are you into diy projects?,واش كاتعجبك المشاريع دي؟,Don't you like the project?
she made diner,راه درت العشا,The way is easy
she couldnt wait,ماكانتستانش,I was not a fan of the show.
how are you,كيفاش كايكون,How can I be?
I dare you to hide in your house,نتحداك ت خفي فدارك,Or you'll lose your mind.
he is not well behabved,راه ماعنديش شي نوع ديال البال,There is no such thing as a ball
tea in the evening,تاي فالعشية,I'm in the middle of the night
i will go to the capital,أنا غادي نمشي ل العاصمة,I am going to march to the capital
my phone is off,تليفون ديالي مابقاش,My phone is not working
like those dont come,بحال أولادي ماكايجيوش,I never got back to work.
i think of if go on tram,تانفكّر واش نمشيو فترام,Please wash your hands and show your hands
did you pack your luggage.,واش درتي شنطك,Wash your clothes
bring me with you,جيبني معاك,I'm with you.
our house or  hardwork,دارنا ولا الخدمة,We have no more than this
Only kidding... but they do allow you to bring your own entertainment if you want,غير كتهزح... و لكن راه يسمحو ليك تجيب ليك لبهزّة ديالك إيلا بغيتي,Not funny... but there are ways to get you to answer your questions if you don't want me.
If we're lucky,إيلا كنا محسنين,Or we'd be too busy
he is a big cadre on his company,راه كبير فشركته,I'm a big company
He always forgets his purse,ديما كاينسّو لحفظة,They've got a little bit of protection
its 3 days now,هادي 3 نهار,This is 3Nhar
I dont think i will get along with you,مانضنش غادي نتفق معاكوم,I'm not going to get in with you.
i want to write that topic,بغيت نكتب داك الموضوع,I want to write this down
this what you have,هادي لي عندك,This is for you
he stood up in front of the judge,وقا فمام الحكم,Wakfā Fām al-Hakām
Why don't you want to swim in the beach,علاش مابغيتيش تسبح فالبحر,There is no more to celebrate the sea
do you want tea ?,واش بغيتي تاي؟,Washing without tea?
its sufficient,كافي,That's enough.
he was wearing a red hat,كان كايلبس شي كوبو أحمر,It was like a red ribbon
But it's not close and I don't know if it's open on Sunday.,و لكن ماشي قريب و ماعرفتش واش مفتوح نهار نهار,But it's not that close and I don't know what to do with you
it softn skin,البشرة ماعززة,The flesh is still alive
