Original Eng,Translated AR
what songs do you enjoy listening to while cooking?,أشمن أغنية كايعجبك تسمعها فاش كتكيب؟
My job,خدام ديالي
some time my parents were scared,شي وقت كانو الواليدين خايفين
taxi us waiting,تاكسي كانسنّا
i forgot to bring recharge,نسيت نجي ليكشارجي
"Well, no not really, but it's like she is watching me",واخا، لا ماشي بالواقع، ولكن كايبقى كايشوفني
my legs hurt,كايجرحو ليا رجلي
we will bear the reponsability,غادي نديرو مسؤولية
why you didn't say it earlier,علاش ماڭوليش ليك قبل
but if I get stuck the girls in here will always help me,ولكن إيلا حطت البنات هنا دايما كايعاونو
We have lost an important contract and we don't understand why,خسينا واحد العقد المهم و ماكنساهدو علاش
I need a calculator,خاصني واحد الكوليكاتور
this stick is sharp,هاد العصا شافية
I'm waiting for you to get a bigger bag,كانتسنّا فيك ت قدا شي ساك كبيرا
can i ask you madam,واش نقدر نسولك سيدتي
we tried new food,جربنا الماكلة الجديدة
this is is for what,هادشي لي هو ليا
whats solution,أشناهوا الحل
I live in libya,كانعيش ف ليبيا
"In fact, it all depends on the shape of the glasses","في الحقيقة, كلشي كايعتمد على شكل ديال النظارة"
are you sure you don't want to come with us,واش متأكد بلي مابغيتيش تجي معانا
go easy on yourself,سير هاديك
I'm not sure I understand,ماكانتش متأكد واش فهمت
its for the qerqara,راه للكارقة
something will happen today,كاين شي حاجة غادي تجري اليوم
i learnt coding,تعلمت كود
What should I wear?,أش غادي نلبس؟
Let's have lunch !,يالله نتغداو
"Hi, I'm having coffee with an orange juice, please.","سلام, أنا كانشرب القهوة ب عصير ليمون, عافاك."
when will restriction canceled,إمتا غادي يرحل الحكومة
thank god going well,الله الحمد لله كايدير هادشي
my problem is known,مشكل ديالي معروف
Have you tried correct bac exam,عمرك جربتي امتحان الباك
Two months yet then I'll go,شهرين أخريين و منين غادي نمشي
You don't want to fix this clock,مابغيتيش تلبس هاد الساعة
Do you do a lot of sports?,واش كاتدير بزاف ديال الرياضة؟
why do you bother ?,علاش كايزعجك؟
we end s5 then we think ahead,نهارنا س5 و من بعدنا نفكر
who are you to use me,شكون نتا باش تستخدمني
i saw a window and looked,شفت شي نواف و كانشوف
he is a scammer,راه خايب
this job didnt work too well,هاد الخدمة ماخدمتش مزيان
consider me your sister not your friend,كون ختي وليتك
if just i remember last week,كون غير قدرت ن تذكّر ليمانة لي فاتت
you have nothing to do,ماعندك ليك شي حاجة ت دير
you are lacking,ماعندكش
this house is cheap,هاد دار رخيصة
I'm waiting for you to solve this problem,كانتسنّا فيك ت حلّ داك لمشكّل
take your time,خلي الوقت
I dare you to assist for the class,نتحداك ت نساعد ف هاد الفصل
"Come on, give me a connection",أجي عطيني شي اتصال
It contains antibiotics that are bad for the skin.,كتيحت المضادات البيضوية لي كايخايب على الجلد
the devil fooled me,شيطان خايبني
this glass doesnt break,راه ماكنتش كيتحطم هاد الكاس
i work remotely,أنا كانخدم من بعد
you need someone who will make you feel comfortable,خاصك شي واحد لي غادي يجعلك كايحسّ ب هاد الدرجة
i think just a salade,كانضنّي غير سلادة
he's good my brother,راه خويا
she must be saying same thing about me,خاصها كاتڭول نفس الحاجة عليا
i follow the system,كانعقب النظام
where have you been,فين كنتي
Have you tried adapt in a cold country,عمرك جربتي تكيّف فشي بلاد بارد
i drove a car,كنت كنت كوفيت طونوبيل
why you dont wanna avoid people,علاش مابغيتيش تبعد الناس
the tv is broken,التلفازة مسخفة
i saw him at a car ,شفتو ف طوموبيل
why are arrogant,علاش كادكرس
What's in your pencil case?,شنو كاين ف سندوقة ديال قلمك؟
Have you tried negotiatiing with im,عمرك جربتي تفاوض معاهوم
if only I could elevate my kids properly,كون غير قدرت ن تربية ولادي بجد
He has no idea,ماعندوش فكرة
It might be,إمكان يكون
"no one wants to see you like this, so change",ماعندك شي واحد بغايش يراك هادشي، إيلا غير
They felt that she kidnapped the kid.,حسّو بلي خاطفت ليها ولد
half past,نص و نص
I know you're an English teacher,عارفك أستاد ديال لونغليزية
he has robbed me,راه حطّني
tell her that I'am waiting for her here,ڭوليها كانسناها هنا
like everyone else,كيما كايبقى
rhis is a mess,راه هادشي فخير
how much is this,شحال هادشي
i dont know ,أنا ماعرفتش
me too guys,أنا كتر
"When I see green, I see red too",ملي كانشوف الخضرا، كانشوف الحمر
this is just a theory,هادشي غير نظرية
i will play a nice role,أنا غادي نلعب دور زوين
the door handle was hot,كان الدراري سخون
Have you tried move your head like this,عمرك جربتي تحرك راسك بحال هكا
where is friendship in this time,فين كاين الصداقة فهاد الوقت
Are you picking up the network with your phone?,واش كايجيب على شبكة ب تيليفونك؟
Let me invent something,خليني نخترع شي حاجة
he achieved his dream,راه حطّم ليه حلمو
you orders are my command,أمرا لي كتبويهوم كايكونو ليا
Why don't you want to go through the mountain,علاش مابغيتيش تبرّع الجبل
You don't deserve the time I gave you. ,ماكنتستاهليش الوقت لي عطيتك
where were you,فين كنتي
my sis came at the same day as me,ختي جات ف نفس اليوم لي دخلت
Why don't you want to tackle him,علاش مابغيتيش تلق عليه
I'm serious,أنا جاد
I'll ask him!,أنا غادي نڭول!
and we be satisfied,و كنكون راعيين
she will send you directly to hospital,غادي تسبّطك على وجهك للمستشفى
You don't want to work poorly,مابغيتيش تخدمي بزاف
you should never think again,عمرك ت فكّر ف هادشي لي عاودت
where is your work car,فين كاين توموبيل ديال الخدمة ديالك
special,خاصة
go to your uncles,سير عند خلك
The mouse is a small animal,الماوس حيوان صغير
It sounds rather suspicious to me,كايبان ليا شكّ
put realistic goals,حدد أهداف واقعية
last time you speal,آخر مرة كنتي كاتفرج
i like autimn,كايعجبني الفوزان
he is at home,راه فدار
He wants to go to Africa,بغا يروح لأفريقيا
Was he not traumatised?,واش ماكانش متأثر؟
when you will travel,إمتا غادي تسافر
what do you think about him?,أش بان ليك عليه؟
he has short hair,شال قصير
He has a good sense of humor,راه كايحسّ بلمحة
smoking cause stomach cancer ,التمباك كايسبب كسر ديال المعدة
you bought utensils yet,شديتي ليا شي حاجة
What's in it?,شنو كاين فيه؟
Mr.,مس
why you angry,مالك غاضب
you are underrated,نتا كايتقليل من القيمة
Enjoy the rest of your day,تفرح ف نهارك
you go with bad people,كايمشي مع ناسّ خايبين
you didn't finish the talk you started,ماكملتيش لبرنامج لي بدتي
There's something I'm worried about.,كاين شي حاجة لي كايخافني.
Why don't you want to speak to me,علاش مابغيتيش تكلم معايا
I didn't met him,ماقابلتش معاه
I hate singers!,كرهت المغنيين!
"i need to see the nurse, please",خاصني نشوف الممرضة عفاك
I dont think he wil llend me,مانضنش غادي يديرني
you should never eat salade outside,عمرك تكل سلاطة من البلاصة
there is no mobile data,ماكاينش ديا ديال لجوال
you should never stock chocolate,عمرك ت قدا شي شكلاتة
they told me my friend has died,قالو ليا صاحبي مات
do you prefer restaurants with a focus on food presentation artistry?,كاتفضلو المطاعم لي كايركزو على تقديم الماكلة؟
what's the mistake i did ,اشناهيا الخطأ لي درت
"Yes, that's exactly what it is!",آه، هادشي بالضبط!
this is administratively wrong,هادشي مخطأ إداريا
they demolished the whole neighbor,دخلو الجار كامل
i have an appointement today,عندي موعد اليوم
ten to,عشرة على عشرة
what did you do,أشنو درتي
where is the change,فين كاين البدل
"You see movies, you participate in games, there's a library...",كاتشوف الفيلمات، كاتشارك في لعبة، كاين المكتبة...
he loves bad girls,كايعجبو على البنات الخايبين
she was afraid of nothing,ماكانات تخاف من تاحادي حاجة
And you come to see it,و نتا جاي تشوفو
i'm considering learning how to dance,كنفكر باش نتعلم نطرس
i was so scared for you,كنت خايفة عليك
Or maybe not.,ولا إمكان لا
They have special dietary requirements,عندهم ماشي خاصة ديال الدار
You're already handicapped by the dimension,نتا مسيانة مسيانة
you are too late to invite people,تعطلي بزّاف باش تدعو ناس
you know me well,راه تعرفيني مزيان
this student only comes during exams,هاد التلميد كايجي غير فالمتحانات
he was in the coffe shop,كان ف القهوة
do your best in the pitch,دير جهدك فالماتش
there is a good match,كاين شي مسابقة مزيانة
leave  him calling until he gets tired and he will hang up,خليو يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود يعاود
You were meant to get the ingredients,كان من المقدّر ليك ت دخل المكونات
"When I was little, I hated my cousin, in the country, who sometimes put turtles on her back.","ملي كنت صغير، كنت كرهت خويا, ف الريف, لي كان كايضع أحيانا لحمري على شفتها."
Okay for the planning.,واخا لخطط.
So it was better,إوا كان أحسن
wait for me tomorrow,تسنّا ليا غدا
we do not accept credit card,ماكانقبلوش كارت كريديت
How many hours a week do you work?,شحال ديال الساعات فالأسبوع كاتخدم؟
my friend will coem to me,صاحبي غادي يجي يجي ليا
whats big isnt always good,أشنو كبير ماشي مزيان ديما
Thank you for your advice.,شكران على نصيحة ديالك.
you can correct your mistakes,تقدر تصحح ليك لخطاك
what's a song that you can listen to on repeat?,أشناهوا الأغنية لي تسمعها ف التكرار؟
how far is it,شحال بعيد
he work silently,كايخدم فالسكوت
Think again,فكري تاني
what do you like to do during winters,أش كيعجبك دير ف شتاء
nothing was told to your father's friends,تا واحد ماخدمت ل صحاب والدك
it's on your right,هو على يمينك
why you dont wanna buy new clothes,علاش مابغيتيش تشري حوايج جديدة
Have you tried to have a big accomplishment,عمرك جربتي تمشي واحد كبير
i was in a rush,كانعجل
you started jealousy,بداك غي حسدو
you are nothing like me,نتا ماشي بحالني
go have a run in the beach,سير سيرشي ف البحر
i always need your prayers mom,أنا ديما محتاج ل صلاتك ماما
I coudn't come to your party,ماقدرش نجي لحفلة ديالك
right here,هنا
can you explain to me?,تقدر تشرح ليا؟
You want some water?,بغيتي شوية ديال الماء؟
Have you tried get fired from work,عمرك جربتي تخلص من الخدمة
I dont think  i will listen to that song again,مانضنش غادي نعاود نسمع هاد الأغاني
I hear people outside!,كانسمع ناس خارج!
i had a big weight,كان عندي بزّاف
your kids is spoiled,ولادك مسخين
they are asleep now,راه كايعاسو دابا
the bananas are black,البنانات مشو
i will go watch the borida,أنا غادي نمشي نشوف البوريدة
this sea rock is soft,راه ماعندش هاد الحجر البحر
"It's okay, it's just that I don't want to do anything",ماشي، غير ما بغيت ندير والو
And have a change of scenery while we are at it. ,و تبدل لدوار و نقدرنا فيه
what's your favorite childhood game?,اشناهيا أحسن لعبة عندك من صغر؟
if only I could fit my shirt,كون غير قدرت نقدر نستمر ف القميص ديالي
I'm idealogically opposed to Google and any other institute trying to use us to get more data!,أنا عادي فكري لغوغل و أي معاهد تانية كايحاول يستخدمنا باش يحصل على مزيد ديال البيانات!
Were you helping him a little?,واش كنتي كايتعاونو شوية؟
she cry a lot,كايتبكي بزاف
here she is,هاهيا
i'm at hsini,أنا ف هسنة
this is a psychological sickness,راه مريض نفسي
Let me buy you groceries,خليني نشري ليك شي حاجة
is that a flaw,واش هادشي واحد العيب
he is an American,هو أمريكان
It gives me bad breath,كايعطيني ريحة
ten past,عشرة
You may make people feel uneasy,ممكن تجيب الناس يساورو
"no, thanks","لا, شكرا"
i counted on you ,كانعتبر عليك
"Wait, I have to catch my dog",تسنّا، خاصني نحمل لكلب ديالي
He has a cooking show,عندو شوف ديال طياب
are you into diy projects?,واش كاتعجبك المشاريع دي؟
she made diner,راه درت العشا
she couldnt wait,ماكانتستانش
how are you,كيفاش كايكون
I dare you to hide in your house,نتحداك ت خفي فدارك
he is not well behabved,راه ماعنديش شي نوع ديال البال
tea in the evening,تاي فالعشية
i will go to the capital,أنا غادي نمشي ل العاصمة
my phone is off,تليفون ديالي مابقاش
like those dont come,بحال أولادي ماكايجيوش
i think of if go on tram,تانفكّر واش نمشيو فترام
did you pack your luggage.,واش درتي شنطك
bring me with you,جيبني معاك
our house or  hardwork,دارنا ولا الخدمة
Only kidding... but they do allow you to bring your own entertainment if you want,غير كتهزح... و لكن راه يسمحو ليك تجيب ليك لبهزّة ديالك إيلا بغيتي
If we're lucky,إيلا كنا محسنين
he is a big cadre on his company,راه كبير فشركته
He always forgets his purse,ديما كاينسّو لحفظة
its 3 days now,هادي 3 نهار
I dont think i will get along with you,مانضنش غادي نتفق معاكوم
i want to write that topic,بغيت نكتب داك الموضوع
this what you have,هادي لي عندك
he stood up in front of the judge,وقا فمام الحكم
Why don't you want to swim in the beach,علاش مابغيتيش تسبح فالبحر
do you want tea ?,واش بغيتي تاي؟
its sufficient,كافي
he was wearing a red hat,كان كايلبس شي كوبو أحمر
But it's not close and I don't know if it's open on Sunday.,و لكن ماشي قريب و ماعرفتش واش مفتوح نهار نهار
it softn skin,البشرة ماعززة
we can do all of our burgers without onions if you prefer,نقدرو نديرو كل برغر ديالي بلا لبصل إيلا كنتي باغي
i will not fix your bycicle,مابقيتش باغي نسويلك
if only I could drop this convocation,كون غير قدرت ن تخف هاد الجمع
mind your own business,راسك فشي حاجة
Or maybe we could just get back to ourselves?,ولا إمكن نقدرو نرجعو لنفسنا؟
I think of hurrying up,تانفكّر واش ندرب
I'm asking for forgiviness of fans,كانطلب المغفرة من الجمهور
this is hard for you,هادشي صعيب عليك
why you dont wanna imitate him,علاش مابغيتيش ت تقتع عليه
read this text of rules,قرا هاد نص ديال القوانين
you need to calm down,خاصك ت هادري
these problems are enough,راه كافي هاد المشاكل
Probably not.,إمكان لا.
if only I could be warm in the winters,كون غير قدرت ن حرم ف شتاء
i will not give you time,ماغاديش نعطيك والوقت
This is the third time the lift has broken in the last two weeks.,هادي المرة التلت لي كسرق المصعد ف هاد الأسبوعين
dont hate me,ماتكرهنيش
anyway,على هاد الدراري
don't be arrogant,ماتبغيش تبرز
if only only i slept better,كون غير قدرت نعس
i have nothing to say,ماعنديش حاجة نقولها
I'm afraid that's the end of my shift now,خايف هادشي هو نهار ديال نوبتي دابا
i asked him,سوليت ليه
they told him,قالو ليهوم
are you a coffee or tea person?,واش نتا كايبغ القهوة ولا الشاي؟
what do you enjoy doing in your free time?,اشنو كايعجبك دير فالوقت فراسك؟
They were in Africa,كايكونو ف أفريقيا
i thought that that house will fall,كان كيسحاب ليا غادي يسدق هاد دار
i think there is something wrong,كانضن كاين شي حاجة
"I suggest you listen more and talk less, I have to go now",نقترح ليك تسمعو بزاف و تدوّل خفف، خاصني نمشي دابا
I'm thinking if i should buy a new charger,تانفكّر واش نشري شي شارجر جديد
if one isnt fit,إيلا ماكانش واحد ماشي مناسب
my grandpa has a hoyse in the country side it has cows,جدّي عندو شي دار فبلاد فيها البقر
he become lazy,و كايبقى عرس
You don't want to fight me ,مابغيتيش ت تحاربي معايا
did you travel?,واش سفرتي؟
"By the way, we're gonna have to dance!","بالمناسبة, غادي نحضر!"
"Hey, you seem to know these dogs",أيه، كايبانك كتعرف هاد الكلاب
it easy for you to accuse people,راه سهل عليك تندم ناس
i chose a color,أنا لي اختار لون
he didnt wake up well,راه مافيقش مزيان
to look for it,باش نڭولها
how much is this,شحال هادشي
i left my wallet at home,خليت المحفظة فدار
hows your foot,كيفاش كايجيك ليك
But I really don't want to be on this plane,ولكن أنا بلاش مابغيتش نكون ف هاد الطيارة
is there a bakery nearby,واش كاين شي بيكاري قريبة
the governement need to take action,الحكومة خاصها تحرك
im getting married,أنا غادي نتزوج
i don't want to loose you,مابغيتش نخسرك
and ate z3lok,و كليت زلوق
these are cards,هادا كارت
this gas has choke me,هاد الغاز خايقني
god brought you,الله جبتك
you have gluten allergy,عندك حساسية من الجلوتين
Why don't you want to work at the aeroport,علاش مابغيتيش تخدم فالمطار
I did not come to eat anything,ماجيتش نتأكل شي حاجة
can you give me a minute of your time,واش ممكن تعطيني دقيقة من وقتك
I don't even think I'll have any questions 'cause I understand so little.,مانضنش غادي يكون عندي شي سؤال حيت فهمت شوية
I trust you completely,كانتيق بيك كامل
I lift a heavy bag,كانرفع شي ساكة ثقيلة
Let me change my mirrors,خليني نبدل ليا لرايا
I still have money left from my birthday,مازال عندي فلوس من عيد ميلادي
Wake up!,قاوف!
i applied a second strategy,راني كنت قديت ليه شي استراتيجية ثانية
where has the respect gone,فين غاتحترم
he is in love,هو ملي حبّو
how do you always know when i need a comforting hug or a shoulder to lean on?,كيفاش دايما كتعرف إيلا كانحتاج لحبلة مريحة ولا كتف باش نستين عليه؟
i was in garden,كنت فالجرد
you should never anounce something good,عمرك تعلن شي حاجة مزيانة
how do you keep learning?,كيفاش كاتبقى كاتعلم؟
go now leave,سير دابا سير
you  are hard on yourself,راسك صعيب على راسك
bring someone he can fire,جيب شي حد إقدر يطرد
grab my hand,خدي ليا ليا يدّي
do you like to dance?,واش كيعجبك ترقص؟
he is available yesterday,راه متلق كايجيب البارح
is the room big enough for you?,واش هاد البلاصة كبيرة ليك؟
what he consume,شنو كايكونو
he speaks to me whenever he want,كايهدر معايا فكل مرة بغا
you have like day like night,عندك ليما كين نهار
avoid problems,تفاد المشاكل
i will give the students their papers,غادي ندي ليك لجامعي و نقدر نقدر ليك
They serve excellent breakfast after takeoff,كايخدمو الفطور زوين من بعد القيادة
i heard the news ,سمعت الخبر
why did you come ,مالك جيتي
you didn't come to the coffe shop,ماجيتيش ل قهوة
it comes by itself,كايجي من حدّو
if only i was taller,كون غير قدرت ن كبر من غير راسي
I hope we're not getting cold.,كانتمنا ماغاديش نبردو.
fried chicken,دجاج مقلي
it's next to,هادي حدا
I think of help them,تانفكّر واش نعاونا
i'm one of them,أنا واحد منهم
you are having some personal issues,عندك شي مشاكل شخصية
olive oil is good ,زيت زيتون زوين
act like you don't understand,دير بحال ماكنتيش فاهم
But you must respect that new deadline,ولكن خاصك تحترم هاد الموعد لي جديد
I'll take care of myself,أنا غادي ندير راسي
"It's weird, isn't it?",راه غريب، ياكما؟
Are you okay?,واش نتا بخير؟
Why don't you want to negotiate with him for better prices,علاش مابغيتيش ت تفاوض معاه على شي سعر أحسن
i need to learn chinese,خاصني نتعلم اللغة الصينية
she is taking care of everything,هي كاتدير كلشي
this doesnt require money,هادشي ماخايحتاجش فلوس
that i used,لي كنت كايستعملو
do you want me to help you ?,واش بغيتيني نعاونك؟
a moment and i call you,شي دقيقة ونعاونك
rent her a house,كري ليها دار
Hurrying up too much can make you late,ماكرهش بزّاف تقدر تعطل
I dare you to swim in beach,نتحداك تسبح فالبحر
Don't eat bread,ماتكوليش الخبز
her hair is long ,شعرها طويل
How about you?,و نتا؟
sould is very precious to god,روح عزيزة بزاف ف الله
Do you know?,واش عرفتي؟
this is wrong,هادشي ماشي صحيح
the alley is full,راه كاملة لفرقة
we just killing time with this heat,غير كايقتلو الوقت فهاد الحرارة
why you dont wanna delived the bread,علاش مابغيتيش ت تسلم الخبز
You don't want to put you habd on a project,مابغيتيش تفرط فشي مشروع
perhaps I need to explain,إمكن خاصني ن شرح ليك
just you go,غير إمشي
they left a low salary,خليو واحد لخسّر ليك
thank you bro,شكران أخي
this place came,راه وصل هاد البلاصة
he want to confuse us,بغاو يخلونا
Who's calling?,شكون كايعتي؟
you are a competent man,نتا راجل موهوم
Why don't you want to win money,علاش مابغيتيش ت ربح فلوس
I dare you to give me back my ballon,نتحداك ت عاوطني ليا البالون ديالي
everytone thought im genius,كولشي كان كايسحاب ليا أنا العبقري
they're happy that I give them some bread to throw,فرحانين حيت عطيتهم شي فطيرة لي غانلقاو
write slowly,كتب بليام
There's really no one else we can count on in this building!,كاين شي واحد آخر لي يمكن نعتمد عليه ف هاد البناية!
"Ok, it can't really make it any worse than it already is, and it's not good for him to be inside all day!","واخا, ماعندوش قدرت يزيدو الحالة من الحالة, و ماشي مزيان ليه إكون فداخل نهار كامل!"
what do you want now,أش بغيتي دابا
you have well educated kids,عندك ولاد واعين
Are you ready?,واش نتا على مايك؟
"Yes, those are my little pleasures.",آه، هادوك مساعدي الصغيرين ديالي.
i never traveled,أنا ماعمرني سافر
"Yeah, I used to do a lot of things, but after the accident I just saw, I'm not sure I'm gonna make it back so soon!",آه، كنت كاندير بزاف ديال لحوايج، ولكن بعد لحادث لي شفت، ماكنت متيقن واش غادي نرجع بزّاف!
i want to help,بغيت نعاون
just reserve,غير راسكرا
be courageous,كوني شجاع
without going to another city,بلا ما تمشي لمدينة أخرى
my mom supports me,ماما كايعطي ليا
i know your worth,أنا عارفة قيمتك
He rejected Christianity,رفض المسيحية
may god give you more wealth,الله يزيدك على هاد الأسرة
the dress look good on you,هاد الحوايج كايبان عليك مزيان
this talk isn't for someone who gets shy,هاد الحضرة ماشي لشي واحد لي كايحشم
whats happening at your house,اشنو كايدي في دارك
how much is this jean,شحال كايكل هاد الجان
I'm getting off,أنا غادي نزل
