Original English,tgt,src
do you have any discounts or promotions available today?,عندك ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال؟,do you have dialdddddddddddddddddddddddddddddddddddddddddddddddddddddlddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
i will change your desktop,غادي نغيّر ديالك,I'm going to change your place
today i gave birth,اليوم ولدت,today I was born
once i come lets settle it,مرّة نأتّي نسوّيها,Once we come and fix it
there is no difference between them,مامن فرق بينهما,There's no difference between them
i scored 3 against him,سجّلت 3 ضدّه,I scored three against him
he was affected emotionally,كان متأثرا عاطفيا,he was emotional
i'm waiting for you,أنا فينّا فيك,I'm in you
i will harm myself,أنا غادي تاخدش ليا,i'm gonna go talk to you
Does this bus go to the beach?,هَلْ هاد الحافلة تَذْهبُ إلى الشاطيء؟,Is this bus going to the beach?
i will not send you money through him,مابغيتيش نرسل لك المال من خلاله,I don't want to send you money
i will bring a lock to put on it,غادي ناغي غادي نوصلها,I'm gonna go get her
Or a lolly?,واش ديالي؟,What's wrong with me?
"yes, it is forbidden to swim here",نعم، ممنوع من السباحه هنا,"Yeah, no swimming around here"
you will grow up and i will explain,غادي تكبر و أنا غادي نوضح,she will grow up and i will explain
I see you comfortable,راه راهك راه,what do you think?
i will outrace you,أنا غادي نمشي معاك,i will go with you
My! my poor husband is lost. I do only one closing.,زوجي المسكين تاه واش غادي غادي واحد,my poor husband is lost
whats this meal,راه هاد الوجبة,this meal
you should never take another job,مابغيتيش تقبلي بوظيفة أخرى,You don't want to take another job
You think they made fun of you?,اتضنين أنهم سخروا منك؟,Do you think they made fun of you?
he did fool me,واش يخدعني,he doesn't cheat on me
I talkedto my work friend,تَكلّمتُ مع صديق عمل,i talked to a business friend
Get us out of here!,أخرجونا من هنا!,Get us out of here!
call your girl,ناد على بنتك,call your daughter
but thank god nevertheless,ولكن شكّر الله مع ذلك,But thank God though
"I'm sorry, I misunderstood.",أنا آسف، أنا أسأت فهم.,"I'm sorry, I misunderstood."
we haven't seen each other until weeding night,مابقينا نشوف معانا قبل ليل ديال ديال ديال ديال,we don't see each other until the night of the day
I dont think  he will climb that tree,مانضنش غادي يتسلق هاد الشجرة,I don't think he will climb this tree
What did you bring for them?,ماالذي جلبته لهم؟,what did you bring them?
i'm your girl dad,أنا بنتك ديالك,i'm your daughter
this boy is innocent,هاد الولد برّاء,this boy is innocent
It seems to me that the last time a lecturer was supposed to be speaking of ancient Egypt.,بدا لي أن آخر مرة كان من المفترض أن يتحدث فيها أحد المحاضرين عن مصر القديمة,It seemed like the last time one of the lecturers was supposed to talk about old Egypt
Did you eat any of those mushrooms?,أكلتي أي من تلك الفطريات؟,Have you eaten any of those fungus?
i will travel,أنا غادي نسافر,i will travel
if only i had an excuse,كون غير قدرت كان عندي عفا,if only i had a favor
if only i had a farm,كون غير قدرت كان عندي مزرعه,if only i could have had a farm
are you insane or what,كونتي مجنونة أو ماشي,you're crazy or not
it will be fine,غادي نتا غادي نعا,you will be happy
I dont think i will  leave him alone,مانضنش غادي نتركه لوحده,i don't think i will leave him alone
I rarely use a protractor,مانادر نستعمل هاد المغني,We never use this singer
A frog came out of the water,واش خرج من الماء,didn't come out of the water
The bottles of the oil get their seal ruined.,زجاجات الزيت خربت ختمها,The oil bottles ruined the seal
I was looking for a villa with a pool for rent .,كنت ابحث عن دار ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,i'm looking for a house too much
who won,راه رابح,he is a winner
i will hit on her,غادي نضرب عليها,I'm gonna hit her
help yourself,ساعدي نفسك,help yourself
give yourself some time,عطي نفسك بعض الوقت,give yourself some time
he has a nice name,راه اسماء بزّاف,it's a lot of names
my grandpa doesnt talk much,جدّي لا يتكلّم بزّاف,Grandpa doesn't talk too much
work  is hard here,هادشي هاد هادشي,that's what this is
or who buy goods,أو شيّر بزّاف,Or it's too bad
what's you father's name,ما هو اسم أبّاك؟,What is your father's name?
you should never bring a book,مابغيتيش تاخد كتاب,You don't want to get a book
Tell me about your mother,حدّثني عن أمّك,Tell me about your mother
i ate spoiled yogurt,غادي تاكل دابا,i will eat dabba
i hope you are okay,أملت أن تكون بخير,i hope you're okay
I want to get divorced,أنا غادي نتطلق,i'm gonna get divorced
"Oh, my God, that's horrible",يإلهي، هادشي فضيع,"Oh, my God, this is awful"
He did his homework,كان ديال فروضه,he did his homework
the food isn't delicious,غادي غاديش غير شهية,i'm not gonna be delicious
the room is big,غادي بزّاف بزّاف بزّاف,he will add too much
good evening wife,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,a dial dial dial dial dial dial dial
How much is it going to cost to get the car fixed?,كم سيكلف لتصليح السيارة؟,how much is it gonna cost to fix the car?
i forsake eveyrthing,واش غادي غادي غادي ديال ديال,i'm going to go to my house
dont eat junk food,مابغيتيش تاكل غادي,You don't want to eat my lunch
All right.,كل الحق.,all right.
no one can harm him,لا أحد يستطيع إيذائه,No one can hurt him
i dont buy dishes outside in ramadan,مانبغيش نشتري فاش في رامادان,I don't want to buy a rat in Ramdan
he is building a villa,راه شيّد فيلا,he built a villa
i'am talking about me,غادي نمشي عني,I'm gonna go for a walk
my condelences,هادشي ليا بزّاف,that's too much
"Ok, I'm going to head out with the dog!",طيب، أنا غادي ندير مع الكلب!,"Okay, I'm gonna run with the dog!"
i put it in this street,أنا غاديته في هاد الشارع,i did it in this street
I think of paying right now,فكّر باش ندفّع في الوقت الحالي,Think of what to pay right now
I'm watching the game,راه أنا ندير اللعبة,i'm running the game
he become like this in two months,كان هادشي هادشي في شهرين,this has been so hard in two months
if only i respond to message,كون غير قدرت نرد على الرسالة,if only I could respond to the message
why didn't you think of that before?,علاش مافكرتيش من قبل؟,Have you never thought before?
i respect you opinion,واش نحترم راسك,do we respect your head
we stayed here,بقينا هنا,We stayed here
she deosnt say yes,ديال ديال باش باش باش باش باش باش باش باش,what are you doing?
Let me laugh,خليني نضحك,Let me laugh
what do you think were the turning points in today's game that led to your team's win?,ما رأيك كانت نقطة تحوّل في لعبة اليوم التي أدّت إلى فوز فريقك؟,What do you think was a turning point in today's game that led to your team winning?
Chew your food well,غادي غدّك بزّاف بزّاف,i will tomorrow you too much
i'm going on stairs,أنا نمشي على السلالم,I'm walking down the stairs
That's a good idea,هاد هي فكرة جيدة,this is a good idea
you need to be attentive,مابغيتيك تاكون يقظة,I didn't want you to be careful
i still think about this,مازلنا نفكّر في هادشي,I'm still thinking about this
you are too focused on him,واش تا تركيزي عليه,i need to focus on him
if only i took my dog outside,كون غير قدرت ناخذ كلبي في الخارج,if only I could take my dog outside
have you fallen of your head,واش تاخد راسك,take your head
i only touch myself,أنا فقط ماسّيت نفسي,I just touched myself
go decorate your room,سيري بزّاف بزّاف بزّاف,go too far
what were you talking about,واش تاكلّم معاك,I'm talking to you
"why, just why",علاش، علاش,"what is it, what is it"
i will joi nyou ,غادي نشوفك,i will see you
is it imprtant he pass training,هادشي ليا غادي يمّر تمارين,i'm going to go to work
Have you tried to harm someone ,بزّاف باش تاخدّر شخص ما,too much to drug someone
this dog is savage,هاد الكلب هادشي,this dog is good
depends on the distance,راه بزّاف بزّاف بزّاف,it's too much too much
I forgot my dautgher in rooftop,نَسّيتُ ديال ديال ديال في سقف.,I forgot the diaper in the roof.
If you're not worried in my office,كون غير قلق في مكتبي,be worried in my office
Omar gave a book to Mohamed,علّم عمر كتاب لمحمد,he taught Omar a book
you will find new boxes,غادي تجدين علّاف جديدة,i will find new feed
this hurt me,هادي جرحني,this hurt me
she want to take your child,مابغيتها تاخد ولدك,You don't want to take your son
Friday they give us surprise,راهونا يوم الجمعة,bet us on Friday
It's the dead of summer,هاد بزّاف الصّيف,this is a summer
Do you know when we entered the forest?,هل تعلم متى دخلنا من الغابة؟,Do you know when we went in the woods?
go to you sister,غادي تا غاديك,got to go
scared,خايف,i'm scared
stop saying nonesense,توقّف قايل هادشي,stop saying that
He had his socks inside out,كان ديال ديال جواربه من خارج.,his socks were outside.
How was the experience?,كيف كانت التجربة؟,How was the experiment?
Do you believe that?,هل تصدقين هادشي؟,Can you believe this?
It's very important,راه مهم جدا,he is very important
Do you want to talk about it ?,واش تنوّد تاكلّم عليه؟,do you want to talk to him?
where have you been,واين كنت؟,Where were you?
they are yours,هم ملكك,they are yours
Are you going to invite a lot of people?,هل ستدعوا الكثير من الناس؟,Are you gonna invite a lot of people?
who are you,هاداك,that's it
what songs do you enjoy listening to while cooking?,أشا غادي تستمتعي باش نستمع واش ندير؟,what are you gonna enjoy?
My job,شغلي,work
some time my parents were scared,بزّاف بزّاف والديّ,too much for my parents
taxi us waiting,تاكسي بزّافنا بزّاف,a taxi is too much
i forgot to bring recharge,غادي نيتي ناش تا غادي نا نا نا غادي,i will do it
"Well, no not really, but it's like she is watching me",راه، ماشي بزاف، لكن هادشي تشوفني,"Hey, it's not too much, but this is what I do"
my legs hurt,ساقاي جرحتا,my legs are hurt
we will bear the reponsability,غادي نتحمل ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,I'm gonna take the dials of the dials of the dials of the dials
why you didn't say it earlier,علاش ماقلتيها من قبل,What did you say before
but if I get stuck the girls in here will always help me,ولكن لو غادي نبقا هادشي هادشي غادي دابا يساعدني,"But if I stay this way, it will help me"
We have lost an important contract and we don't understand why,خسرنا عقد مهم ولا نفهم لماذا؟,We lost an important contract and we don't understand why?
I need a calculator,أنا بحاجة حاسبة,i need a calculator
this stick is sharp,هادشي هادشي بزّاف,this is too much
I'm waiting for you to get a bigger bag,كانتسنّا فيك باش تاخد كيسا كبير,I'm waiting for you to take a big bag
can i ask you madam,يُمْكِنُ أَنْ أَسْألَك ديالك,I can ask you what you are
we tried new food,جربنا غادي جديد,we tried a new one
this is is for what,هادشي هادشي,That's what this is about
whats solution,واش ديال ديال ديال ديال ديال ديال,what's the big deal?
I live in libya,أنا أعيش في ليبيا,i live in Libya
"In fact, it all depends on the shape of the glasses",في الحقيقة، كُلّه يَعتمد على شكل الكؤوس,"Actually, it all depends on the shape of the glasses"
are you sure you don't want to come with us,واش مابغيتيش تجي معانا,Why don't you want to come with us
go easy on yourself,سيري بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,"he will go too far, too far, too far, too much"
I'm not sure I understand,ماشي ماشي عارف مافهمت,I don't know what I understand
its for the qerqara,هاد القارقة ديال بزاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,this is too much to add to the increase in the increase in the increase in the increase in the increase in the increase in the increase in the increase in the increase in the increase in the increase in the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the cost of the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount
something will happen today,شي شي شي شي هاد اليوم,something is something today
i learnt coding,تعلّمت ترقّب,i learned to watch
What should I wear?,علاش نلبس؟,Why are we dressed?
Let's have lunch !,واش غادينا!,why are we going!
"Hi, I'm having coffee with an orange juice, please.",مرحبا، أنا غادي ديك القهوة مع عصير برتقال، من فضلك.,"Hi, I'm going to have coffee with orange juice, please."
when will restriction canceled,واين غادي بزّاف,where are you going
thank god going well,الحمد لله على خير,thank god
my problem is known,ديال ديالي معروفة,my day is well known
Have you tried correct bac exam,واش جربتي اختبار ديال ديالك,Have you tried your dad's test
Two months yet then I'll go,شهران حتى الآن و أنا غادي نمشي,Two months now I'm going to take a walk
You don't want to fix this clock,مابغيتيش تثبّت هاد الساعة,you don't want to fix this hour
Do you do a lot of sports?,واش تديري الكثير من الرياضات؟,Are you running a lot of sports?
why do you bother ?,علاش تضايق؟,Why are you upset?
we end s5 then we think ahead,واش نتخلصو منو 5 واش نفكّر بزّاف,dont you think too much
who are you to use me,هادشي تاخدش ليا,this is what you're talking about
i saw a window and looked,رأيت نواة و نظّرت,I saw a nucleus and I looked
he is a scammer,راه هادشي هادشي,this is what this is about
this job didnt work too well,هاد الشغلة ماعملت بزّاف,this job didn't work too well
consider me your sister not your friend,فكّر ليا شقيقتك واش صديقتك,Think of your sister as your friend
if just i remember last week,واش غادي نتذكّر بزّاف بزّاف بزّاف,why do I remember too much
you have nothing to do,ماعندك شي حاجة,you have nothing
you are lacking,مابغيتيش,you don't want
this house is cheap,هاد البيت رخيص,this house is cheap
I'm waiting for you to solve this problem,كانتسنّا فيك تحلّي هاد المشكلة,I'm waiting for you to solve this problem
take your time,خدي وقتك,Take your time
I dare you to assist for the class,تحداكم باش تقدّم لطلاب الصف,I dare you to apply to the class
"Come on, give me a connection",هيّا، علّق ليّا بزّاف,"Come on, hang me too much"
It contains antibiotics that are bad for the skin.,ديال ديال ديال ديال ديال ديال ديال ديال البشرة,the dials are the dials are the dials
the devil fooled me,شياطين خانوني,Demons have betrayed me
this glass doesnt break,هاد الكوب مانكسر,this cup is not broken
i work remotely,أنا غادي ندير بزّاف,i'm gonna do too much
you need someone who will make you feel comfortable,واش حاجة ليا غادي يريحك,i need you to rest
i think just a salade,كانفكّر بزّاف سلّة,I'm thinking more of a basket
he's good my brother,راه أخي,this is my brother
she must be saying same thing about me,واش تقول شي شي شي شي شي عني,dont say anything about me
i follow the system,غادي نتابع هاد النظام,i will follow this system
where have you been,أين كنت؟,Where have you been?
Have you tried adapt in a cold country,عمرك جربتي تكيّف في بلد بارد,Have you tried to adapt in a cold country
i drove a car,درّيت سيّارة,I ran a car
why you dont wanna avoid people,علاش مابغيتيش تتفادي ناس,Why don't you want to avoid people
the tv is broken,فالتلفزيون ممزق,TV is torn
i saw him at a car ,راه في سيارة,he's in a car
why are arrogant,علاش نديرو,why don't we go
What's in your pencil case?,واش ف هاد ليك؟,Why are you doing this to you?
Have you tried negotiatiing with im,واش جربتي تتبادلي مع هادشي,what you tried to do with this
if only I could elevate my kids properly,كون غير قدرت نرفع أطفالي ببراعة,if only I could raise my children well
He has no idea,ماعنده من فكرة,he has no idea
It might be,قد يكون,it could be
"no one wants to see you like this, so change",لا أحد يريد أن يراك هكذا، فغيّر,nobody wants to see you like this
They felt that she kidnapped the kid.,شعرو بانها خطفت الطفل,They felt that she kidnapped the baby
half past,واش نا نا نا نا نا نا نا نا نا هاد,what do we do?
I know you're an English teacher,أنا أعلم أنك معلمة إنجليزية,I know you are an English teacher
he has robbed me,راه سرقني,he stole me
tell her that I'am waiting for her here,قل لها بانني كنت في انتظارها هنا,tell her I've been waiting for her here
like everyone else,كالآخرين,like everyone else
rhis is a mess,الرهينة فاشلة,the hostage is a failure
how much is this,باش باش هاد هادشي,this is not good
i dont know ,مانعرف,we don't know
me too guys,أنا واش ديال ليا راه,i didn't tell him
"When I see green, I see red too",عندما أرى خايضرا نشوف حمر أيضا,when I see my favorites I see red too
this is just a theory,هادشي مجرّد نظرية,this is just a theory
i will play a nice role,غادي ندير دور جميل,I'm gonna do a nice job
the door handle was hot,ديال باب كان حارا,the door was hot
Have you tried move your head like this,واش جربتي غيري راسك هادشي,Have you tried to change your head
where is friendship in this time,واين هي الصدقة في هاد الوقت,And where is the charity at this time
Are you picking up the network with your phone?,هل تلتقط الشبكة بهاتفك؟,Can you pick up the network with your phone?
Let me invent something,خليني اختلق شي شي,Let me make something up
he achieved his dream,نال حلمه,he got his dream
you orders are my command,واش ليا ديال ديال ديال ديال ديال ديال,what is the dialectomy of the dialectomy
Why don't you want to go through the mountain,علاش مابغيتيش تمشي من خلال الجبل,Why don't you want to go through the mountain
You don't deserve the time I gave you. ,لا تستحقين الوقت الذي اعطيتك فيه,You don't deserve the time I gave you
where were you,أين كنت؟,Where have you been?
my sis came at the same day as me,واش خاي غادي غادي غادي ليا ليا,i'm gonna go to me
Why don't you want to tackle him,علاش مابغيتيش تحرج عليه,Why don't you want to embarrass him
I'm serious,أنا جاد,I'm serious
I'll ask him!,أنا سَنَسْألُه!,I'll ask him!
and we be satisfied,و نكون راضين,And we're happy
she will send you directly to hospital,غادي تارسلك مباشرة للمشفى,i'm gonna ask you straight to the hospital
You don't want to work poorly,مابغيتيش تعمل بزاف,you don't want to work too hard
you should never think again,مابغيتيش تفكّر ثانية,You don't want to think again
where is your work car,أين سيارتك؟,Where's your car?
special,خاص,special
go to your uncles,سير لعمّاك,go to your uncle
The mouse is a small animal,الفارة حيوان صغير,the mouse is a small animal
It sounds rather suspicious to me,بدا ليا مشبوه ليا,he seemed suspicious to me
put realistic goals,هادي هادشي ديال ديال ديال ديال ديال ديال,this is a dial dial dial
last time you speal,آخر مرّة تَبخلت,the last time I was groveling
i like autimn,أنا أَحْبُّ تايمنين,i like tymin
he is at home,هادشي في البيت,this is home
He wants to go to Africa,كان يريد أن يذهب إلى أفريقيا,he wanted to go to Africa
Was he not traumatised?,ماكان راه؟,What's the matter with him?
when you will travel,غادي تسافر,i'm going to travel
what do you think about him?,ما رأيك فيه؟,What do you think of him?
he has short hair,ديه شعر قصير,he has short hair
He has a good sense of humor,راه حسّا حسّا فكاهة,it's a sense of humor
smoking cause stomach cancer ,ديال ديال بزّاف بزّاف بزّاف,they're too heavy
you bought utensils yet,باش باش باش باش باش بزّاف بزّاف بزّاف,what is it? What is it?
What's in it?,واش فيه؟,what's in it?
Mr.,راه,"hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey!"
why you angry,علاش علاش تغيّر,why did he change
you are underrated,واش غادي تهتّم,i don't care
Enjoy the rest of your day,تمتع بباقي يومك,enjoy your day
you go with bad people,واش تسافري مع ناس أشرار,do you travel with bad people
you didn't finish the talk you started,ماغيتيش تاكل تا باش باش باش بدات,you don't eat the ta bash
There's something I'm worried about.,هادشي شي شي قلق عليه,this is something you're worried about
Why don't you want to speak to me,علاش مابغيتيش تخاطبيني,You don't want to talk to me
I didn't met him,مابقيت عليه,i didn't stay on it
I hate singers!,أنا أكره المغنيين!,I hate singers!
"i need to see the nurse, please",أنا بحاجة لرؤية الممرّة، من فضلك,"I need to see the aisle, please."
I dont think he wil llend me,مانضنش غادي يوصلني,I don't think he will give me a ride
you should never eat salade outside,مابغيتيش تاكل فطير,You don't want to eat pie
there is no mobile data,ماشي ديال ديال ديال ديال ديال,It's not a dial of dial
you should never stock chocolate,مابغيتيش تخزن الشوكولاتة,You don't want to store chocolate
they told me my friend has died,قالو ليا صديقي مات,they told me my friend died
do you prefer restaurants with a focus on food presentation artistry?,واش تفضلين مطاعم مع التركيز على فنانة عرض الطعام؟,Would you prefer a restaurant with a focus on the food show?
what's the mistake i did ,ما الخطأ الذي قمت به؟,What did you do wrong?
"Yes, that's exactly what it is!","نعم, هادشي هادشي هادشي","Yeah, that's it! That's it!"
this is administratively wrong,هادشي خاطيء,this is wrong
they demolished the whole neighbor,هادمو الجار كامل,this is a full neighbor
i have an appointement today,عِنْدي تاليف اليوم,I have a phone today
ten to,ديال ديال ديال ديال,Dial dial dial
what did you do,ماعملتيه؟,What did you do?
where is the change,أين هو التغيير؟,Where is the change?
"You see movies, you participate in games, there's a library...",تشوفو افلام، و تشاركو في الالعاب، و هادشي مكتبة...,"they show movies, they participate in games, and these bookstores..."
he loves bad girls,هادشي يعشق البنات ديال ديال,this is why he loves girls
she was afraid of nothing,كانت خشيت من لاشي,I was afraid of nothing
And you come to see it,واتي تشوفها,she came to see her
i'm considering learning how to dance,غادي نتأمل تعلّم كيف نرقص,i'm hoping to learn how to dance
i was so scared for you,كنت خايف جدا عليك,i was too scared for you
Or maybe not.,أو ربّما لا.,Or maybe not.
They have special dietary requirements,عِنْدَهُمْ متطلبات تغذوية خاصّة,they have special nutritional requirements
You're already handicapped by the dimension,واش معوقة ديال البُعد,i dont have a lot of distance
you are too late to invite people,واش تاخرتي بزّاف لدّاع ناس,you are too late to buy people
you know me well,كنت عارف ليا,you know me
this student only comes during exams,هاد التلميذة هادشي بزّاف بزّاف بزّاف بزّاف,this schoolgirl is too much
he was in the coffe shop,كان في محل الكوفي,he was in the coffey shop
do your best in the pitch,جهّز بزّاف بزّاف,prepare extra
there is a good match,هادشي هاد المباراه,this is the game
leave  him calling until he gets tired and he will hang up,خليه ينادى حتى يتعب و يوصل ليا,let him call until he gets tired and delivers to me
You were meant to get the ingredients,كان من المفترض أن تحصلي على الماكينات,You were supposed to get the machines
"When I was little, I hated my cousin, in the country, who sometimes put turtles on her back.",عندما كنت صغيرة، كرهت ابن عمّي، في البلاد، الذي في بعض الأحيان وضع سلحفاة على ظهرها.,"When I was young, I hated my cousin, in the country, who sometimes put a turtle on her back."
Okay for the planning.,راه من أجل التخطيط.,see him for planning.
So it was better,واش بزّاف,isn't too much
wait for me tomorrow,واش ليا غادي,what are you gonna do
we do not accept credit card,واش مانقبل بطاقة ديال ديال,I don't take a dial card
How many hours a week do you work?,كم ساعة في الأسبوع تعمل؟,How many hours a week do you work?
my friend will coem to me,صديقي غادي تا دابا ليا,my friend will come to me
whats big isnt always good,هادشي كبير ماشي ديال ديال غير جيّد,This is a big deal. It's not good.
Thank you for your advice.,شكرا على نصيحتك,Thank you for your advice
you can correct your mistakes,واش تقدر تا تا غاديك,you can't do this
what's a song that you can listen to on repeat?,ما هي الأغنية التي يمكنك أن تسمعها على تكرار؟,What song can you hear for a repeat?
how far is it,واش راه هادشي,what's that?
he work silently,راه يعمل بزّاف,he works very well
Think again,فكر مرة أخرى,Think again
what do you like to do during winters,راه مابغيتيش نديرو في الشتات,You don't want to be in the crowd
nothing was told to your father's friends,ماقولو بزّاف ديال ديال ديال ديال ديال ديالك,they don't say that much of yours
it's on your right,واش على يمينك,do you want to go to your right
why you dont wanna buy new clothes,علاش مابغيتيش نشتري لباس جديد,Why don't you want to buy a new dress
Have you tried to have a big accomplishment,واش جربتي ليك إنجاز كبير,Have you tried to make a big deal
i was in a rush,أنا كُنْتُ بزّاف.,I've been extra.
you started jealousy,بديت غيرة,I'm jealous
you are nothing like me,ماكنتش مثلي,you are not like me
go have a run in the beach,سيرو في الشاطي,go to the beach
i always need your prayers mom,دومًا ما أحتاج لوالدتي خاصتك,i always need your mom
I coudn't come to your party,أنا غادي ماجئت لحزبك,i will never come to your party
right here,هنا,here
can you explain to me?,هل يمكنك شرح لي؟,Can you explain it to me?
You want some water?,تُريدُ بَعْض الماءِ؟,do you want some water?
Have you tried get fired from work,واش جربتي تطردي من العمل,Have you tried to get fired
I dont think  i will listen to that song again,مانضنش غادي نستمع للأغنية مرة أخرى,i don't think i will listen to the song again
I hear people outside!,أنا أَسْمعُ ناس خارج!,I hear people out!
i had a big weight,كان عندي وزن كبير,I had a lot of weight
your kids is spoiled,أطفالك مدللون,your kids are spoiled
they are asleep now,راهين بزّاف,too much bet
the bananas are black,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,this is a dialdddddddddddddddddddddddddddalddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
i will go watch the borida,أنا غادي نشوف الپوردة,i'm going to see the rose
this sea rock is soft,هاد الروك البحري هادشي هادشي,this sea rock is this thing
"It's okay, it's just that I don't want to do anything",لا بأس، هو فقط أني مابغيتيش ماشيشيشيش,"It's okay, it's just that I don't want to do anything"
And have a change of scenery while we are at it. ,و غادي نغيّر بزّاف بينما نديرها,And I will change my clothes while I do it
what's your favorite childhood game?,ما هي مباراتك المفضلة في طفولتك؟,What is your favorite match in your childhood?
if only I could fit my shirt,كون غير قدرت ناشف على قميصي,if only i could brush my shirt
I'm idealogically opposed to Google and any other institute trying to use us to get more data!,أنا من الناحية المنطقية تعارض مع جوجل وأي معهد آخر يحاول أن يستخدمنا للحصول على المزيد من البيانات!,I'm logically opposed to Google and any other institute is trying to use us to get more data!
Were you helping him a little?,كنت تساعدينه قليلا؟,You've been helping him a little bit?
she cry a lot,راه بزّاف بزّاف,it's too much
here she is,ها هي هنا,Here it is
i'm at hsini,أنا في هاسّيني,i'm in a good place
this is a psychological sickness,هادشي مرض نفسي,this is mental illness
Let me buy you groceries,خليني نشتري لك بزّاف,Let me buy you extra
is that a flaw,هادشي عيب,this is a shame
he is an American,راه أمريكان,he's American
It gives me bad breath,راه ليا تنفّس,see him breathe
ten past,عشرة من الماضي,10 of the past
You may make people feel uneasy,ربّما تجعل الناس يشعرون بعدم الراحة,Maybe make people feel uncomfortable
"no, thanks",لا، شكرا,"No, thanks"
i counted on you ,أنا غاديتك,i'm going to get you
"Wait, I have to catch my dog",لحظة، كان عليّ إمساك كلبي,"Wait, I had to catch my dog"
He has a cooking show,راه عرض طبخ,there's a cooking show
are you into diy projects?,هاداك في مشاريع ديال؟,Is this a project?
she made diner,راه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,"it's a dial, a dial, dial, dial, dial, dial, dial, dol, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial"
she couldnt wait,مايقدرها تاخدّر,I can't take her
how are you,كيف حالك؟,How are you?
I dare you to hide in your house,تحداك تختبئ في بيتك,i dare you to hide in your house
he is not well behabved,راه راه ماشي بزّاف,he didn't do too much
tea in the evening,شاك في المساء,it's in the evening
i will go to the capital,أنا غادي نمشي للعاصمة,i will go to the capital
