tgt,src
I will start from now,غادي نبدا من الآن
go follow him,سيرو عليه
its been too long now,راه بزّاف بزّاف بزّاف
if only I could inspire you,كون غير قدرت نلهمك
dont repeat words,واش ماتكرّر ليا بزّاف
Let me solve this problem,خليني نحل هاد المشكلة
I'll assume that it has just slipped my mind,غادي نفترض هادشي ليا
i need to buy honey,أنا بغيت نشتري ديال العسل
tell it not to stay in front of the door,قل ليه ماتبقى بزاف الباب
there is nobody here,هادشي مايوجد هنا
you went out,واش خرجتي
I don't see the money. ,مابقيتش نشوف الفلوس.
I'm very worried about the disappearance of the bees,أنا قلق جدا على زوال ديال النحل
this haircut is bad,هاد القصاصة سيئة
I don't know who caught him ,مانعرفش من مسكه
you brought roses,ديالك ديال الورد
this is normal,هاد طبيعي
I am learning italian,أنا تعلّمت تاليان
it wasnt ifficient,ماكانش واش نافق
something good ?,شي شي حاجة جيّدة؟
wait for me please,واش نخدمني من فضلك
I agree with you that certain subjects are not treated enough,أنا أتفق معك على أن بعض المواد ماعوملت بما فيه الكفاية
i want happiness to come home,بغيت بسعادة نرجع ديارنا
you will learn a lot of things,غادي تتعلّم بزّاف بزّاف
I gathered it in the night,أنا جمّعتها في الليل
how to take loan,كيف ندير ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
he tried to fix it but broke it,وحاول كي يصلحها و لكن كسرها
why are you bothering,علاش تسافر؟
are you ready ?,واش جاهز؟
Europe is a continent,أوروبا قارة
eat your breakfast at peace,كل فطورك في سلام
this dog is loyal,هاد الكلب واين
I'm only using wifi,أنا غير نستعمل الوايفي
Silly people.,ناس سخيان
I don't want to be disturbed,مابغيتيش تاخدش
i put meat in bread,واش واش ليا لحم فخبز
What have you done?,أشنو ماعملتي؟
you won't understand me,عمرك مافهمتني
I hear people outside!,أنا نسمع الناس خارج!
after a time they used the house and renovated it,راه بزّاف فهاد دار و مدّدوها
this point is marginal,هادشي هاد النقطة هادشي
frankness is peace of mind,الصراحة هي راحة البال
I was searching for him I didn't find him,كنت نبحث عنه ماوجدناه
until I go to the class,حتّا نمشي للصف
it costed me a lot of money,كلفتني الكثير من المال
I don't know how to drive,ماعرفتش كيف ندير
you speak too much,واش تنطق بزّاف
we wre helping you so you can rest,كنّا نساعدك حتى ترتاح
this job didnt work too well,هاد الشغل ماعملت بزّاف
I feel sad for you,راه خايف عليك
my son has grow up quickly,بني كبر بزاف
His face was still pale,وجهه كان مايزال شاحب
I'm not this type of people,أنا ماكنت هاد النوع من الناس
i think of accelerating,كانفكّر فاش نسرع
if only I could increase my views,كون غير قدرت نزيد ديال ديالي
"if your pet could talk, what do you think they might say about you?",لو قدرت ليك تتكلّم، واش بظنّك قد يقولو عنّك؟
do you think you are pretty,واش باش باش باش بزّاف
nice to meet you,راه بزّاف باش نقابلك
i thought that he wil lcurse all night long,كان كيش غادي يغيّر ليا طوال اللّيل
be good to your neighbor,كونو طيبين مع جارك
i signed contract and regretted it,أنا وقّعت عقدا و ندمت عليه
i will wait for your answer,كانتسنّا باش نجيبك
 i thought that he wil lwalk on a cqn,كان ليا غادي يمشي على كاتن
many people have cheated,العديد من الناس خانو
you will be my wing,غادي تا غادي تا غادي
definitely chocolate cake,بلا شكولاتة كيك
can you buy me my phone subscription,واش قدرت تاشتري ليا تليفوني ديال ديال التليفون
the best of perfumes,راه أحسن العوالق
it's enough,راه كافي
i will take you,أنا غادي نوصلك
we dont have a session today,ماعندنا جلسة اليوم
Was she wearing a seat belt?,واش كانت ترتد حجاب؟
you are not a man,أنت ماشي بزّاف
you always ask me about it,عمرك دائما تسالني عليه
Don't look for help,واش مانطلب المساعدة
do you have his phone number?,واش عندك رقم تليفون؟
did you see that new movie?,هل رأيتي فيلم جديد؟
i will teach you,أنا غادي نعلّمك
calm down and everything  will pass.,هدّو و كلّشي غادي يمرّ.
His friend's marriage lasts until the morning,زواج صديقه باقي حتى الصباح
You don't want to finish that game,مابغيتيش تكملي هاد اللعبة
he is talking about us,راه يتحدث عنا
he was a good man,كان راه راه راه
It's a piece of cake,هاد بسكويتة بزّاف
what makes you think like this,علاش غادي تفكّر هادشي
the tickets are sold,هادشي باش بزّاف
a train hit me,سكّان ليا بزّاف بزّاف ليا
cops stoped me,شرطة وقفت ليا
that's too much,هادشي بزّاف بزّاف
Let me join you,خليني نضمك
"yes, here you are",نعم، ها أنت هنا
god helps me,الله ليا غادي
we should eat veggies each day,غادي ناكل الخضروات كل نهار
everyone has turned their face on me,هادشي ليا هاد الوجه ليا ليا
the woman wasn't replying to her emails,ماكانت الإمرأة تجيب على رسائلها
tell her good night,قل لها ليلة سعيدة
i will be home,أنا غادي نكون ديالنا
i'm looking on her,أنا غادي نشوفها
he wanted to know me,راه كان يعرفني
an earthquake will hit,هزّة هزّة غادي تضرب
if only i canceld subscription,كون غير قدرت نلغي ديال الإشتراك
and I'll finally have a reason to wear those heels that have been gathering dust in my closet,واخيا غادي يكون عندي سبب للبس هاد الكعب التي كانت تتجمع غبارا في خزّانتي
they give birth and cant afford them,راهين ولايقدرو على تاكلهم
he is warm,هادشي بزّاف
the girl is married,بنت متزوّجة
what this walk,هادشي هادشي
I'm really getting into the story and I think it's going to become quite exciting soon.,أنا حقا دخلت في القصة وأظن أنها ستصبح مثيرة جدا قريبا.
i dont think i will stop yu,مانضنش غادي نتوقّف
why do you mingle too much,علاش علاش تخلطي بزاف
"It's on my computer, which is in my office",راه على حاسوبي و هو في مكتبي
Do you want coffee with sugar?,واش تبغي قهوة مع السكر؟
leave me alone,خليني واش
I dare you to climb to the top of mountain,نتحداك تتسلق لقمة جبل
this is the first time,هادا أول مرة
close that door,سدّي هاد الباب
i was walking and i found 200dh,كنت تمشي و أنا وجدت 200 دره
"Very well thanks, and you?",راه بزّاف بزّاف، و هادشي؟
he is attentive to details,راه هادشي ليه شيف
can i subscribe here,باش نجمع هنا
i wont see your face here,مابقيتش نشوف راسك هنا
I think of buying a razor,كانفكّر باش نشتري واش ديال ديال ديال ديال ديال
don't add anything,بلا ماتزيدش شي حاجة
this is the first time I'am working,هاد أول مرة أنا غادي ندير
Where can I do laundry?,واين ندير المغسلة؟
I'm traveling to USA,أنا غادي نسافر إلى أمريكا
if only i fleed,كون غير قدرت نيتي
how many did you drink,بزّاف ديال باش سكرتي
I don't know,مابقيتش عارف
inchaelah yo will give birth,غادي غادي تلد
the vegetables are expensive,خضروات غالية
When will you represent your country in an international competition?,متيا ستمثل بلادك في مسابقة عالمية؟
he can take this,هو يُمْكِنُ أَنْ يَأْخذَ هادشي
I agree.,أنا موافق.
there's a message for you if you look up,هادشي رسالة ليك إن نظرتي بزاف
you are in your fifth bottle,واش غادي تاخدك بزاف ديال ديال ديالك
my dog has blue eyes,كلابي ديها عينان زرقاوتان
if you love me let me go,لو كنت تحبّني خليني نمشي
she is an old client of mine,هادشي عتيقة ديال ديال ديال ديالي
i was getting up,أنا كُنْتُ غادي نهضّ
hurry up,أسرعي
i didnt find the key,أنا ماوجدت المكيال
i will ask for money,أنا غادي نطلب مني المال
we stayed here,بقينا هنا
i dont let my husband do something else,مابقيت مابقيت بزوجي ديال شي حاجة أخرى
kid,ولد
you will keep living alone,غادي تعيشي بوحدك
why you dont wanna join this school,علاش مابغيتيش نضم هاد المدرسة
I think I'll talk to the principal about it.,كانني غادي نتكلّم مع المدير عليه.
i will not finish ,مابقيت نكمل
They should know where she went,علاش يعرفو ليها ذهبت
And hungry,و جوع
what do you want to say,أشا غادي تقول
i igored him,أنا غاديت عليه
we will handle this problem,غادي نعالج هاد المشكلة
she wanna see me relaxed,واش تشوفني مستريحة
i will participate to foot tournament,أنا غادي نشارك في بطولة سير
And by some miracle it never broke down with me in it again.,وبمعجزة ما تهدم ليا فيها مرة أخرى.
are you crazy,واش هادشي بزاف
if only i brought what i want,كون غير قدرت نتي باش حاجة
I'm waiting for you to punsish him,كانتسنّا فيك باش تصفيه
you need to have diabetes analysis,خاصك تحلل ديال ديالك ديال ديال ديال ديال ديال ديال ديال ديال ديالك
i wanna know where is the taxi,بغيت نعرف أين تاكسي
you do drugs,عندك ديال ديال ديال ديال ديال
eat welcome,غادي نرحّب بك
if you were busy just get ahead of me,لو كنت مشغول فاش تتقدّم منّي
did they anounce the exam,راهو ديال ديال الإمتحان
let me go with you,خليني نمشي معاك
3 months now i'm looking for rent,ثلاثة شهور هادي نبحّو بزّاف
when they will call me,واش غادي ينادونني
i will remind you,أنا غادي نذكّرك
day,نهار
Let me argue with him,خليني نتجادل معاه
Have you tried to eat this typoe of chocolat,عمرك جربتي تاكل ديال تشوكولات
i will choke you,غادي نخفقك
rice water grows hair up,هاد المياة تزّر شعرة الرزّة
"Maybe you're allergic to animal hairs, too.",ربّما لديك حساسية لشعر الحيوانات، أيضا.
they want you to stay this way,راه يبغيك ت بزّاف على هاد الطريق
what are you waiting,راه تشوف ليك
be judgementaa,راه ديال الله
i cant stop smoking,مانقدرش نتوقّف ندخّر
i'm getting angry,أنا غاضب
i want to come back tomorrow,بغيت نرجع غدا
always in this place,دابا في هاد المكان
i have a good memorie,عندي مفكرة جيّدة
they ended today,ماتو اليوم
he found a beautiful girl,راه وجد بنت جميلة
with odorless soap,مع الصابون ديال الوردة
first year,السنة الأولى
"landmarks, like the pond and the park?",معلمين، كالبركة و المنتزه؟
he didn't tell why he want me,ماقالش علاش علاش يريدني
once in a while,مرة واحدة فباها
her phone is turned off,هاتفها تعطل
god forbids,بلا الله
the road is jam,الطريق مزيان
"As soon as we get out of the way, we'll go into wild beasts territory",وحالما نخرج من الطريق، سندخل منطقة وحوش برية
too many phones came ,راه بزّاف ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i worked a lot today,أنا عاينت اليوم بزّاف
Huge eggs.,بزّقة بزّاف.
is it differentiation or integration you're needing help with the principle of?,إمتا تفاضل أم تكامل تحتاجي المساعدة مع مبدأ ديال؟
are you drawing,واش رسمك
You don't want to face off,مابغيتيش تشوفي
dont be mad,ماشي غير مجنون
if only I could look up to you,كون غير قدرت ندير عليك
what did you eat in lunch,أشنو ليك تاكل فدا غادي
Sunday,واش ليك بزّاف
I didn't think to take my megaphone.,مافكّرش غادي ندوّر بزّاف ديالي.
just wuth my family,واش بزّاف بزّاف عائلتي
the customer was impressed by the item's durability,واش عاين باش ديال شي حاجة ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i like this domain,أنا غادي هاد المجال
i do what i want,أنا ندير ليا شي حاجة
give me that shit,عطني هادشي بزّاف
you can do nothing we need money,واش ماقدرتيش نديرو فلوس
when you grow up to 23 you'll understand,واش تكبرين بزاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
I'm gonna throw up,أنا غادي نمشي
What a relief!,راه راه!
I dont think i will organize my time like you,مانضنش غادي ندير وقتي مثلك
i tell it to you always,أنا غادي نقولها ليك دابا
"This one is next to you, someday we'll go to it. ",هاد واحد بزّافك، يوما ما غادي نمشي عليه.
Don't come back ,مابغيتيش نرجع
Cope harder ,شدو بزّاف
I dont think i will  burn in flames,مانضنش غادي نحرق في اللهب
they made a lot of money,راه باش بزّاف بزّاف
we are afraid,راهنا خايفون
my mother made salty food,أمّي جَعلت غادي مالحة
how did you get there,كيف وصلتي هنا؟
we will also travel,غادي نسافر
go finish your job,واش نكمل ديالك
please help your self,من فضلك ساعدي نفسك
What do you want us to do?,واش تبغي منا ندير؟
I wouldn't dare accuse you of anything,ماكنتش نتجرأ نتهمك على شي حاجة
 why you dont wanna change your house,علاش مابغيتيش تغيّر ديالك
i dont see my friend every day,مانبغيش نشوف ليا كلّ يوم
forgive me I did bother you,غفر ليا ليا ضايقتك
Why don't you want to meet her,علاش مابغيتيش تقابليها
is she always like that,واش هادشي دابا هادشي
I laughed at myself.,ضحكت على نفسي.
tomorrow i will take the bus,غدا غادي ندير الباص
I study English,أنا درّست اللغة الإنجليزية
i will not augmentate the vies,أنا مابقيتش نزيد هاد الفلوس
this boy looks nice,هاد الولد هادشي جميل
Did you mean umbrella?,واش نعتي المظلة؟
i will buy a remote garage,أنا غادي نشتري مرجا نائي
It's been over a month since we met.,مر شهر واحد منذ تقابلنا
the instructions are here,هادشي هاد التعليمات
this what i say is secret,هادشي هادشي هادشي سر
you need some coffee,حاجة بزّاف قهوان
would you prefer two single beds?,واش تفضلين سريرين واحد؟
I dare you to cheat in class,نتحداك تخدش في الصف
tell me ,قول ليا
"There were no seats on the train, but I could stand up",ماكانش بزّاف بزّاف، لكنّي كاننو ننهض
"Even though you are in a far place, it is beautiful ",على الرغم من أنك في مكان بعيد، هو جميل
welcome to our new house,راه في دارنا الجديدة
I sent that video to my daughter,أرسلت ليا هاد الفيديو لإبنتي
where have you been my handsome brother,واين كنت واخاي الوسيم
I exercise in the morning.,أنا نتمرن في الصباح.
Why don't you want to invent something,علاش مابغيتيش تخربش شي حاجة
Have you tried to marry an ugly girl,عمرك جربتي تتزوّج بنت قبيحة
Then I'll have a whole liter!,عندها أنا غادي ندير ليتر كامل!
smart people succeed in life,راه ناس خزّان نجحو في الحياة
i will not cheat anyhlonger,مابقيش غادي غادي غادي
how much you work,راه باش تشتغل
if only I could have a side income,كون غير قدرت ندير ديال ديال ديال
I can't hear you,ماقدرتش ماسمعك
But you must respect that new deadline,و لكن عليك احترام الموعد النهائي الجديد
you are too late to reassure him,تعطلي بزّاف باش تطمئن عليه
i saw the beauty entering,راه راه هاد الزهرة
The day had begun,اليوم بزّاف بزّاف
this man isnt trustful,هاد الرّجال مايقدر بزّاف
bring something new,جلب شي حاجة جديدة
whats the matter,ماشي شي حاجة
Because it's a recipe for ancient magic potion with a mystery ingredient,لأنّها وصفة لجرعة سحريّة قديمة مع مكوّن لغزيّ
my childhood friend,صديق طفولتي
transalte this word,هاد الكلمة
"Come on, let's travel together",هيا بنا نسافر معا
yes they came but not everyone,واش واش جاو و ماشي الجميع
if only i found what i looked for,كون غير قدرت على ماكنت نفتش عليه
But we often make a joke...,ولكن في كثير من الأحيان ندير نكتة
hey man,راه يا رجل
give my phone,هادي ليا تليفوني
humans are not perfect,البشر ماشي بزّاف
marry the fiancee,قرّي ليه ديال ديال ديال الواليد
did you wear a ring,واش لبستي خواتم
I hear you can even get to see some beautiful birds if you're lucky,سمعتك واش تقدر تشوف بزاف بزاف باش بزاف بزّاف بزّاف باش بزّاف بزّاف بزّاف باش باش بزّاف بزّاف بزّاف باش باش باش بزّاف بزّاف بزّاف بزّاف باش بزّاف باش بزّاف باش بزّاف
do what you  like,واش مابغيتيش
he was born in France,راه ولد في فرنسا
just wait for me,كونوا ليا
stubborn,عايدين
 I'm qatarian,أنا قطاري
its a good thing,هادشي هادشي هادشي
you are too late to get a project,تعطلي بزّاف بزّاف بزّاف مشروع
"I had to go to this retirement home and see an old friend and pretend to be in love with him, just to try and get his money in his will",كان عليّ أن نمشي لدار العجزة و نرى صديق قديم و ندّعي أنّنا نحبّه،
i lost my phone,تعطلت تليفوني
your reaction is strong,ردة فعلك قوية
Forget it.,نساها.
i was happy because i gave birth,أنا كنت فرحة باش ولدت
when he will comeback to home,ديال غادي يرجع ديال ديال ديال ديالنا
i want you to change,بغيت تغيّر
"oh, and if you can carry them some grapes",واش قدرت نحملو معاهم بزّاف العنب
we will start the engine  now,غادي نبدا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i booked a ticket,أنا حجزت لتذكرة
you hurt my head,راه تاخد راسي
This suit is perfect for me,هاد البذلة مثالية ليا
i thought that  he will become a beggar,كان كيسحاب ليا غادي يكون شحال
you think far,تفكّر بزّاف
we have,كان عندنا
you should never steal,واش مابغيتيش تسرقي
I dare you to change your habbit,نتحداك تغيّر ديالك
no one will believe me,ما من أحد سيصدقني
I'm not joking,أنا ماتش مامزح
Don't take the camera,واش ماخدش كاميرة
I gained about 3 kilos.,حازت على 3 كغ
no I swear I don't like it,واش ماقسمت ليا مايعجبني
stop going outside,واش نمشي بزّاف
breastfeeding pill,حبّة الماكلة
And I keep bumping into people swimming slowly,واش نتواصل مع ناس تسبح ببطو
"No, I don't think we should aim at the pond.",لا، مانضنش غادي نرمي على البركة
we need to go to them,خاصنا نديرو عندهم
it's oily,راه زيتي
Would you like something to eat?,واش تاخد شي حاجة تاكل؟
i thought that he will protect me,كان كيسحاب ليا غادي يحميني
I was kidding!,كنت ماكينة!
Why don't you want to give up,علاش مابغيتيش تتخلّى
"come on, listen to me",هيا، استمع ليا
my condolences,نعيس ليا
do you have any travel destinations on your bucket list?,واش عندك ديال ديال ديالك ديال ديال ديال ديالك ديال ديال ديال ديالك؟
he was depressed after they fired him,كان مكتئب بعد أن طردوه
He learned a new recipe,راه تعلّم وصفة جديدة
I'll chose some people I don't normally work with,غادي نختار شي ناس ماعملو معاهم
didn't you hear something,واش ماسمعتيش شي حاجة
i have one question,عندي سؤال واحد
i will be absent next week,أنا غادي غادي غادي غادي
 you are too late to apply dor the shool,تعطلي بزّاف باش تتقدّم ديور شوال
i will seek help,أنا غادي نخدمك
why not?,علاش؟
Let me face him,خليني نواجهه
my work is finally done,واخيرا انتهى عملي
i like people who do charity,أنا أحب الناس ديال الخير
she ate three frogs and two snails,كانت تاكل ثلاثة ضفادع و اثنين من الحلزونات
Maybe he's gonna cry in the bathroom every once in a while,ربّما غادي يبكي ف الحمّام كلّ مرّة فبرة
we should search together,واش غادي نفتش معا
What do you want sir?,واش مابغيتيش يا سيدي؟
"You don't want to deliver that message to me, do you?",مابغيتيش نوصل ليا هاد الرسالة، صح؟
the writer died,مات الكاتب
I took a shower today,غادي تا غادي اليوم
i thought that he will throw the pole to fish,كان كيسحاب ليا غادي يروّد ليا غادي تصيد
Let's celebrate.,لنحتفل.
drink you coffee,شرب ليك القهوه
he will not want to ,مابغيش مابغيتش
he insulted me,راه ليا
let me go,خليني نمشي
leave it until we have time for it,خليها حتى يكون عندنا وقت لها
nice story,قصّة لطيفة
What have you done?,واش فعلتي؟
Are you blaming me for this?,أتلومني على هادشي؟
Let's finish what we started yesterday,لينا نكمل مابدانا بزاف
you are too late to marry,تعطلي بزّاف باش تتزوّج
he took everything,خسّل كلّ شيء
the artist is beloved,راه راه محبوب
i need to be accepted,أنا غادي يكون مقبول
Without trying to come between us.,من دون محاولات نمشي بينا.
go to your aunt,سيري لعمتك
Of course not!,بالطبع ماشي!
give us diner,راه لينا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
when we will hang out in the city?,واش نتسكّع في المدينة؟
she stayed silent a bit,بقيت صامت بزّاف
this outside ,هادشي دابا
pretty and witty,راه و راه
It's not natural.,ماشي غير طبيعي
A barrel of laughs...,بزّاف من الضحكات...
We must persist so we can stay alive,وا بزّاف واش نبقو على قيد الحياة
give off your money to kids,سلّم مالك للاطفال
Show us their work ,شوّفْنا عملهم
"Otherwise, I don't.",و إلا، ماعنديش.
the door didnt wanna work,الباب مابغيتش يعمل
Why dont you want to hate this person,علاش مابغيتيش تكره هاد الشخص
give me some time,عطيني بعض الوقت
I dont think i will buy a lot of groceries,مانضنش غادي نشتري بزّاف بزّاف
i will strengthen myself in the gym,أنا غادي نقوّي نفسي ف الصالة الرياضية
the hour is to god,هاد الساعة عند الله
this offer is global,هاد العرض عالمي
tomorrow and go,غادي واش نمشي
my big bro is not available,إخواني الكبيرين غير متوفّر
go have some rest,سيري بزّاف بزّاف
he is black the bully him,راه سودا هادشي
if only you hear what he says,كون غير قدرت تسمع مايقول
This is just the beginning,هادشي هاد البدايه
premature,قبلة
may god extend your lifetime,ربّاه يمدّد عمرك
I'm thinking if the divorce is better for them,كانفكّر واش الطلاق افضل عندهم
if only it worked,كون غير قدرت نفع
really,بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
I'm thinking if he will be angry at me,كانفكّر واش غادي يغضب منّي
"Yes, I think it would be prudent to retrace our steps",نعا، كان ليا غادي يكون من الحكمة أن نرجع لخطواتنا
I think if i could loose weight,كانفكّر لو قدرت ندير وزر
On you or me?,معاك واش ليا؟
Have you tried investing in this company,عمرك جربتي استثمار ف هاد الشركة
whatever they're like,هادشي هادشي
he doesnt pkay foot,راه ماشي بزّاف ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i understand now,فهمت هادشي
but if I get stuck the girls in here will always help me,و لكن واش نبقّي ف هادشي هادشي دابا يساعدني
this doctor is annoying,راه هاد الطبيب هادشي
which foot you play football ,واش ديال ديال ديالك تلعبي كترة
do you stay here ?,واش تبقّي هنا؟
you should never go with bad company,مابغيتيش تمشي مع شركة سيئة
I just had my lunch,أنا فقط كان عندي غديتي
i will not hang my clothes on the window,مابقيتش نعلّق حوايجي على النافذة
i thought that he will watch the movie,كانغي غادي يشوف الفيلم
outside,خسّل بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف باش بزّاف بزّاف بزّاف
the night when fast,ديال الليل ديال ديال الصيام
I'm resting a bit,غادي نرتاح بزّاف
I need your advice on how to help him,أنا بحاجة نصيحتك على كيف تساعده
hurry,واش عجّل
do me a favor please,اسدي ليا معروف من فضلك
i didnt go ourside,مابقيت نمشي معانا
Let me fix his objects,خليني نصلح هادشي
this is impossible,هادشي هادشي مستحيل
let me help you,خليني نخدمك
he attacked me first,هادشي ليا أولا
how do you feel about spicy foods?,كيف كان شعورك في الأطعمة الحارة؟
are you insane,واش نتا بزّاف بزّاف
do you have your photos,واش عندك صورك
he brings client just with talking,راه يوصل الموكل فقط مع كلام
trust me,ثق بي
i have never hid something,مابقيت خبأت شي شي حاجة
I put the food on table,أنا غادي غادي على الطاولة
wait until you find a project,انتظر حتى تجدي مشروع
you only coming by force,واش تاتي بزّاف
i always do good,أنا دابا ندير
you will erase his memories,غادي تمحّر ذكرياته
I don't mind having a dog with us,مابغيتش ندير معانا كلب
sister where you from,من أين أختك؟
i partied last night,كان ليا ليلة البارحة
you scared me,خافتني
i will subscribe to this chanel,أنا غادي نضمّ ل هاد الدار
I find the girls waiting for me,وجدت البنات في انتظاري
i don't know how to say it to you,ماعرفش كيف ناقولها ليك
I can't go to work ,مانقدرش ندير
Why don't you want to buy that book,علاش مابغيتيش تشترو هاد الكتاب
like  summer like winter,كالصيف و الشتاء
hard word with me,خدامة ليا معاي
don't speak with him,مابغيتشش معاه
your behaviour is bad,سلوكك سيئ
i was speaking loudly,راه كانو بزّاف
dont be patient,واش ماتكوني غير صبورة
my friend each day he complains,صديق ليا كل يوم يشتكي
Africa is a large continent,افريقيا قارة كبيرة
go enjoy your vacation,إمتّع بصحّتك
i cant forget her,مانقدرش ننسيها
after one week i was out of hospital,بعد أسبوع واحد خرجت من المستشفى
i will do whats necessary,غادي ندير ليا حاجة
i studied at fst,أنا درات ف فرس
When are you going to fight me?,متا غادي تحاربني؟
"Are you okay, honey?",هل أنت بخير، عسل؟
did i ever exagerate ?,واش خسّرت ليا؟
Have you tried to curse a cop,عمرك جربتي تلعن شرطي
they didnt make couscous today,واش ماصنعو اليوم cosuscoskus
this dog is agressive,هاد الكلب هادشي راهين
Live your life. ,عيش حياتك
give me an info,زودني بزاف
Without this opportunity.,بلا هاد الفرصة
well then let's setup a setup a picnic near the river in the night,واخنا ندير شي شي شي ندير نزهة قرب النهر في الليل
you are in good mood,واش بزّاف بزّاف
And ten points on the ability to work as a team,و 10 نقاط على القدرة على العمل كفريق
Why don't you want to count how many study days,علاش مابغيتيش تحسبي عدد أيام الدراسة
i need to make babies,مابغيتيش نديرو
dont get late,ماتبقىش نتأخر
i played this game,أنا لعبت هاد اللعبة
i have fever,عندي حمية
he remain in his place,باش بزّاف ليا ديال ديال ديالهم
We don't have one here,ماعندنا واحد هنا
do you want to have witnesses,واش بغيتي عندك شهود
where are you going,أشنّا غادي نمشي؟
I have a few walks around the nursing home.,عندي بزّاف بزّاف في دار التسوّق.
He is not an angel,راه ماشي بملاك
lets go outside,خلينا نمشي خارج
don't trust everyone,واش مايثقو بالجميع
And I thought they looked cute...,وظنت بانهم بداو لطفاء
Isn't his job halal ?,ماشي شغله ديال؟
"I laugh alone, You reminded me of the past. ",أنا ضحكت بوحدي، و ذكّرتني بالماضي
you say it happily,واش تقول ليها بسعادة
